word,pos,dfns
abandon,tr,to give up  before completion
abandon,tr,to surrender  to emotion without restraint
abandon,tr,to give (insured property that has suffered partial loss or damage) to the insure in order that a claim for a total loss may be made
abandon,vt ,to leave completely and finally; forsake utterly; desert
abandon,vt ,to give up; discontinue; withdraw from
abandon,vt ,to give up the control of
abandon,vt ,"to yield  without restraint or moderation, as to emotions or natural impulses"
abandon,vt ,"to relinquish  in case of partial loss, so that the insured can claim a total loss"
abandon,vt ,to banish
abandon,n ,a complete surrender to natural impulses without restraint or moderation; freedom from constraint
ability,,"a general word for power, native or acquired, enabling one to do things well"
ability,pl,"The quality of being able to do something, especially the physical, mental, financial, or legal power to accomplish something"
ability,pl,"A skill, talent, or capacity"
ability,pl,The quality of being suitable for or receptive to a specified treatment
ability,pl,"possession of the qualities required to do something; necessary skill, competence, or power"
ability,pl,considerable proficient; natural capability
ability,pl,special talents
ability,pl ,"power or capacity to do or act physically, mentally, legally, morally, or financially"
ability,pl ,"competence based on natural skill, training, or other qualification"
ability,pl ,"abilities, talents; special skill or attitudes"
ability,,"Miles Dictionary, st Edition"
ability,,"“Success with money is often accidental,” she sighed"
able,adj,Having sufficient power or resources to accomplish something
able,adj,Susceptible to action or treatment
able,adj,Especially capable or proficient
able,adj,"having the necessary power, resources, skill, time, opportunity, etc, to do something"
able,adj,capable; competent; talented
able,adj,"qualified, competent, or authorized to do some specific act"
able,adj ,"having the necessary power, skill, resources, or qualifications to do something"
able,adj ,"having or showing unusual talent, intelligence, skill, or knowledge"
about,adv,Approximately; nearly
about,adv,Almost
about,adv,To a reversed position or direction
about,adv,In no particular direction
about,adv,All around; on every side
about,adv,In the area or vicinity; near
about,adv,In succession; one after another
about,adv,In the verge of doing something; presently going to do Used with the infinite
about,adv,Used to show determination or intention in negative construction with an infinite
about,prep,relating to; concerning; on the subject of
about,prep,near or close to
about,prep,carried on
about,prep,on every side of; all the way around
about,prep,active in or engaged in
about,prep,on the point of; intending to
about,prep,determined not to
about,prep ,concerning; on the subject of; in regard to
about,prep ,connected or associated with
about,prep ,near; close to
about,prep ,in or somewhere near
about,prep ,on every side of; around
about,prep ,on or near
about,prep ,so as to be of use to
about,prep ,here or there in or on
about,prep ,engaged in or occupied with
about,prep ,having as a central concern or purpose
above,adv,In high; overhead
above,adv,In heaven; heavenward
above,adv,Upstairs
above,adv,To a degree that is over zero
above,adv,In or to a higher place
above,adv,In an earlier part of a given text
above,adv,In or to a higher rank or position
above,prep,on top of or higher than; over
above,prep,greater than in quantity or degree
above,prep,superior to or prior to
above,prep,too honourable or high-minded for
above,prep,too respected for; beyond
above,prep,too difficult to be understood by
above,prep,louder or higher than
above,prep,in preference to
above,prep,north of
above,prep,upstream from
above,prep,above all most of all; especially
above,prep,above and beyond in addition to
above,prep,above oneself presumptuous or conceited
above,adv ,"in, at, or to a higher place"
above,adv ,overhead or in the sky
above,adv ,upstairs
above,adv ,"higher in rank, authority, or power"
above,adv ,higher in quantity or number
above,adv ,"before or earlier, esp"
above,adv ,in or to heaven
above,adv ,higher than zero on the temperature scale
above,adv ,on the upper or dorsal side
above,adv ,stage
above,,See also related terms for north
abroad, & adj,But of one's own country
abroad, & adj,In a foreign country or countries
abroad, & adj,Way from one's home
abroad, & adj,In circulation; at large
abroad, & adj,Covering a large area; widely
abroad, & adj,Not on target; in error
abroad,adv,to or in a foreign country or countries
abroad,adv ,in or to a foreign country or countries
abroad,adv ,in or to another continent
abroad,adv ,out of doors; away from one's home
abroad,adv ,spread around; in circulation
abroad,adv ,broadly; widely; far and wide
abroad,adv ,wide of the mark; in error
absolute,adj,Unqualified in extent or degree; total
absolute,adj,Not limited by restrictions or exceptions
absolute,adj,Being fully such; utter
absolute,adj,Constrained by constitutional or other provisions
absolute,adj,Not mixed; pure
absolute,adj,Not to be doubted or questioned; positive
absolute,adj,"Of, relating to, or being a word, phrase, or construction that is isolated syntactically from the rest of a sentence, as the referee having finally arrived in The referee having finally arrived, the game began"
absolute,adj,"Of, relating to, or being a transition verb when its object is implied but not For example, inspires in He have a teacher who inspires is an absolute verb"
absolute,adj,"Of, relating to, or being an adjective or profound that stands alone when the noun it modified is being implied but not For example, in Theirs were the best, theirs is an absolute profound and best is an absolute adjective"
absolute,adj,"Relating to measurement or units of measurement derived from fundamental units of length, mass, and time"
absolute,adj,Relating to absolute temperature
absolute,adj,Complete and unconditional; final
absolute,adj,complete; perfect
absolute,adj,"free from limitations, restrictions, or exceptions; unqualified"
absolute,adj,having unlimited authority; despotic
absolute,adj,undoubted; certain
absolute,adj,"not dependent on, conditioned by, or relative to anything else; independent"
absolute,adj,pure; unmixed
absolute,adj,"(of a grammatical construction) syntactically independent of the main clause, as for example the construction  in the sentence Joking apart, we'd better leave now"
absolute,adj,"(of a transition verb) used without a direct object, as the verb intimidate in the sentence His intentions are good, but his rough manner tends to intimidate"
absolute,adj,"(of an adjective) used as a noun, as for instance young and aged in the sentence The young care little for the aged"
absolute,adj,(of a pressure measurement) not relative to atmosphere pressure
absolute,adj,devoting absolute or thermodynamic temperature
absolute,adj,never changing in value
absolute,adj,Also
absolute,adj,not containing a variable
absolute,adj,(of a court order or decree) coming into effect immediately and not liable to be modified; final
absolute,adj,"(of a title to property, etc) not subject to any encumbrance or condition"
absolute,sometimes not capital,the ultimate basis of reality
absolute,sometimes not capital,"that which is totally unconditioned, unrestricted, pure, perfect, or complete"
absolute,sometimes not capital,(in the philosophy of Feel) that towards which all things evolve dialectically
absolute,adj ,being fully or perfectly as indicated; complete; perfect
absolute,adj ,"free from restriction, limitation, or exception"
absolute,adj ,outright; unqualified
absolute,adj ,unrestrained in the exercise of governmental power; not limited by laws or a constitution
absolute,adj ,viewed independently; not comparative or relative; ultimate
absolute,adj ,positive; certain; definite
absolute,adj ,not mixed or adulterated; pure
absolute,adj ,"relatively independent syntactically in relation to other elements in a sentence, as the construction  in"
absolute,adj ,"used without an object, as give in"
absolute,adj ,"used alone, with the noun that is modified understood but not expressed, as hungry in to feed the hungry or mine in"
absolute,adj ,independent of arbitrary standards or of particular properties of substances or systems
absolute,adj ,"pertaining to a system of units, as the centimetres-gram-second system, based on some primary units, units of length, mass, and"
absolute,adj ,"pertaining to a measurement based on an absolute zero or unit, as in the absolute temperature"
absolute,adj ,"indicating that the expression is true for all values of the variable, as x + 1 > 0 for all real numbers"
absolutely,adv,Without qualification or restriction; completely
absolutely,adv,Used as an intensive
absolutely,adv,Is you say
absolutely,adv,In a manner that does not take an object
absolutely,adv,In an absolute relationship
absolutely,adv,"in an absolute manner, esp completely or perfectly"
absolutely,adv ,completely; perfectly
academic,adj,"Of or relating to institutionalized education and scholarship, especially at a college or university"
academic,adj,Of or relating to studies that rely on reading and involve abstract thought rather than being primarily practical or technical
academic,adj,Relating to scholar performance
academic,adj,"Academic Of or relating to the conservative style of art promoted by an official academy, especially the Académie des Beaux Arts in France in the nineteenth century"
academic,adj,"Having little practical use or value, as by being overlay detailed, engaging, or theoretical"
academic,adj,Having no important consequence or relevance
academic,adj,"belonging or relating to a place of learning, esp a college, university, or academy"
academic,adj,of purely theoretical or speculative interest
academic,adj,excessively concerned with intellectual matters and lacking experience of practical affairs
academic,adj,having an aptitude for study
academic,adj,conforming to set rules and traditions; conventional
academic,adj,"relating to studies such as languages, philosophy, and pure science, rather than applied, technical, or professional studies"
academic,adj,"belonging or relating to a place of learning, esp a college, university, or academy"
academic,adj,of purely theoretical or speculative interest
academic,adj,excessively concerned with intellectual matters and lacking experience of practical affairs
academic,adj,having an aptitude for study
academic,adj,conforming to set rules and traditions; conventional
academic,adj,"relating to studies such as languages, philosophy, and pure science, rather than applied, technical, or professional studies"
academic,adj ,"of or pertaining to a school, esp"
academic,adj ,"of or pertaining to areas of study that are not primarily vocational or applied, as the humanities or pure mathematics"
academic,adj ,theoretical or hypothetical; not practical or directly useful
academic,adj ,"learned or scholar but lacking in worldliness, common sense, or practically"
academic,adj ,"conforming to set rules, standards, or traditions; conventional"
accept,,receive
accept,,To answer affirmatively
accept,,To agree to take
accept,,"To regard as proper, usual, or right"
accept,,To regard as true; believe in
accept,,To understand as having a specific meaning
accept,mainly tr,to take or receive
accept,mainly tr,to give an affirmative reply to
accept,mainly tr,"to take on the responsibilities, duties, etc, of"
accept,mainly tr,to tolerate or accommodate oneself to
accept,mainly tr,to consider as true or believe in
accept,mainly tr,to be willing to grant or believe
accept,mainly tr,"to receive with approval or admit, as into a community, group, etc"
accept,mainly tr,"to agree to pay (a bill, draft, shipping document, etc), esp by signing"
accept,mainly tr,"to receive as adequate, satisfactory, or valid"
accept,mainly tr,"to receive, take, or hold"
accept,vt ,to take or receive
accept,vt ,to receive with approval or favor
accept,vt ,to receive or admit as adequate or satisfactory
accept,vt ,to respond or answer affirmatively to
accept,vt ,"to undertake the duties, responsibilities, or honors of"
accept,vt ,"to admit formally, as to a college or club"
accept,vt ,to accommodate or reconcile oneself to
accept,vt ,to regard as true or sound; believe
accept,vt ,"to regard as normal, suitable, or usual"
accept,vt ,to receive as to meaning; understand
accept,vt ,"to agree to pay, as a draft"
accept,vt ,to receive  without adverse reaction
acceptable,adj,"Adequate to satisfy a need, requirement, or standard; satisfactory"
acceptable,adj,Satisfactory but not superior; possible
acceptable,adj,satisfactory; adequate
acceptable,adj,pleasing; welcome
acceptable,adj,tolerable
acceptable,adj ,capable or worthy of being accepted
acceptable,adj ,pleasing to the receiver; agreeable
acceptable,adj ,meeting minimum requirements; barely adequate
acceptable,adj ,capable of being endured; tolerable
access,,"permission to use, speak with, or enter; a way to approach"
access,n,"A means of approaching, entering, existing, communicating with, or making use of"
access,n,"The ability or right to approach, enter, exit, communicate with, or make use of"
access,n,Public access
access,n,In increase by addition
access,n,In outburst or onset
access,n,the act of approaching or entering
access,n,"the condition of allowing entry, esp  allowing entry by wheelchairs, rams, etc"
access,n,"the right or privilege to approach, reach, enter, or make use of something"
access,n,a way or means of approach or entry
access,n,the opportunity or right to see or approach someone
access,n,designation programme made by the general public as distinguished from those made by professional broadcasters
access,n,"a sudden outburst or attack, as of rage or disease"
access,n ,the ability or right to enter or use
access,n ,the right or opportunity to approach or speak with
access,n ,the state or quality of being unapproachable
access,n ,a way or means of approach
access,n ,"an attack or onset, as of a disease"
access,n ,a sudden and strong emotional outburst
access,n ,accession; increase
access,n ,public-access television
accident,n,"In unexpected and undesirable event, especially one resulting in damage or harm"
accident,n,In unforeseen event that is not the result of intention or has no apparent cause
accident,n,In instance of involuntary privation or defection
accident,n,Back of intention; chance
accident,n,In attribute of a substance that is not essential to its nature
accident,n,an unforeseen event or one without an apparent cause
accident,n,anything that occurs unintentionally or by chance; chance; fortune
accident,n,"a misfortune or misha, esp one causing injury or death"
accident,n,a property as contrasted with the substance in which it inheres
accident,n,"a surface irregularity in a natural formation, esp in a rock formation or a river system"
accident,n ,an undesirable or unfortunate happening that occurs unintentionally and us
accident,n ,"an incident that results in injury, in no way the fault of the victim, for which compensation or indemnity is legally sought"
accident,n ,"any event that happens unexpectedly, without a deliberate plan or cause"
accident,n ,chance; fortune; luck
accident,n ,a nonessential or incidental feature or circumstance
accommodation,n,The act of accommodation or the state of being accommodated; adjustment
accommodation,n,Something that meets a need; a convenience
accommodation,n,Room and board; lodgings
accommodation,n,"A seat, compartment, or room on a public vehicle"
accommodation,n,Reconciliation or settlement of opposing views
accommodation,n,The automatic adjustment in the local length of the lens of the eye to permit retina focus of images of objects at varying distances
accommodation,n,"A financial favor, such as a loan"
accommodation,n,lodging or board and lodging
accommodation,n,"adjustment, as of differences or to new circumstances; adaptation, settlement, or reconciliation"
accommodation,n,"something fulfilling a need, want, etc; convenience or facility"
accommodation,n,the automatic or voluntary adjustment of the shape of the lens of the eye for far or near vision
accommodation,n,willingness to help or oblige
accommodation,n,"a loan, usually made as an act of favour by a bank before formal credit arrangements are agreed"
accommodation,n ,the act of accommodation; the state or process of being accommodated; adaptation
accommodation,n ,adjustment of differences; reconciliation
accommodation,n ,"a process of mutual adaptation between persons or social groups, us"
accommodation,n ,"anything that supplies a need, want, convenience, etc"
accommodation,n ,food and
accommodation,n ,"a seat, berth, etc"
accommodation,n ,readiness to aid others; obligingness
accommodation,n ,a loan
accommodation,n ,the automatic adjustment by which the eye adapt itself for distinct vision at different distances
accommodation,,The adjustment in the local length of the lens of the eye
accompany,,tr
accompany,or,"to go along with, so as to be in company with or escort"
accompany,or,"to occur, coexist, or be associated with"
accompany,or,to provide a musical accompaniment for (a performer)
accompany,vt ,to go along or in company with
accompany,vt ,to exist or occur in association with
accompany,vt ,to cause to be associated with or attended by
accompany,vt ,to perform musical accompaniment for
account,n,A narrative or record of events
account,n,A reason given for a particular action or event
account,n,A report relating to one's conduct
account,n,A basis or ground
account,n,"A formal banking, brokerage, or business relationship established to provide for regular services, dealings, and other financial transactions"
account,n,A precise list or enumeration of financial transactions
account,n,"A sum of money deposited for checking, savings, or brokerage use"
account,n,A customer having a business or credit relationship with a firm
account,n,"A private access to a computer system or online service, usually requiring a password to enter"
account,n,"North, standing, or importance"
account,n,Profit or advantage
account,n,"a verbal or written report, description, or narration of some occurrence, event, etc"
account,n,"an explanation of conduct, esp one made to someone in authority"
account,n,"ground; basis; consideration (often in the phrases on this  account, on account of)"
account,n,"importance, consequence, or value"
account,n,assessment; judgment
account,n,profit or advantage
account,n,part or behalf
account,n,"a business relationship between a bank, department store, stockbroker, etc, and a depositors, customer, or client permitting the latter certain banking or credit services"
account,n,the sum of money deposited at a bank
account,n,the amount of credit available to the holder of an account
account,n,a record of these
account,n,a statement of monetary transactions with the resulting balance
account,n,"(on the London Stock Exchange) the period, ordinarily of a fortnight's duration, in which transactions formerly took place and at the end of which settlements were made"
account,n,"a chronological list of debts and credits relating to a specified asset, liability, expense, or income of a business and forming part of the ledger"
account,n,"a regular client or customer, esp a firm that purchases commodities on credit"
account,n,an area of business assigned to another
account,n,to insist on explanation
account,n,to rebuke; reprimand
account,n,to hold responsible
account,n,give a bad account of oneself to perform badly
account,n,give a good account of oneself to perform well
account,n,on credit
account,n,Also
account,n,on credit
account,n,Also
account,n,on account of   because of; by reason of
account,n,take account of take into account to take into consideration; allow for
account,n,to pay or receive a balance due
account,n,to pay or receive a balance due
account,n,to get revenge on
account,n,"See bank account, credit account"
account,n ,an oral or written description of particular events or situations; narrative
account,n ,"an explanatory statement of conduct, as to a superior"
account,n ,"a statement of reasons, causes, etc"
account,n ,reason; basis
account,n ,importance; worth; value; consequence
account,n ,estimation; judgment
account,n ,"an amount of money deposited with a bank, as in a checking or savings account"
account,n ,an accommodation extended to a customer permitting the charging of goods or services
account,n ,a statement of financial transactions
account,n ,"a formal record of the debts and credits relating to a particular person, business, etc"
account,n ,a business relation in which credit is
account,n ,"a customer or client, one carried on a regular credit"
accurate,adj,Conforming exactly to fact; errorless
accurate,adj,Deviating only slightly or within acceptable limits from a standard
accurate,adj,Capable of providing a correct reading or measurement
accurate,adj,Acting or performing with care and precision; meticulous
accurate,adj,faithfully representing or describing the truth
accurate,adj,showing a negligible or permissible deviation from a standard
accurate,adj,without error; precise; meticulous
accurate,adj,"representing the first n digits of the given number starting with the first nonzero digit, but approximating to the nearest digit in the final position"
accurate,adj,giving the first n digits after the denial point without further approximation
accurate,adj ,free from error; conforming to truth
accurate,adj ,"consistent with a standard, rule, or model"
accurate,adj ,not making mistakes; carefully precise; meticulous
accuse,,tr
accuse,vb,"to charge  with some fault, offence, crime, etc; impute guilt or blame"
accuse,vt ,to blame
achieve,,tr
achieve,tr,to bring to a successful conclusion; accomplish; attain
achieve,tr,to gain as by hard work or effort
achieve,vt ,to bring to a successful end; succeed in doing or accomplishing
achieve,vt ,to get or attain by effort
achievement,n,The process of achieving something
achievement,n,"Something that has been achieved, especially by means of skill or perseverance"
achievement,n,"something that has been accomplished, esp by hard work, ability, or heroism"
achievement,n,successful completion; accomplishment
achievement,n,a less common word for parchment
achievement,n ,"something accomplished, as through great effort, skill, perseverance, or courage"
achievement,n ,the act of achieving; attainment or accomplishment
acknowledge,trv,To admit the existence or truth of
acknowledge,trv,To express recognition of; make notice of
acknowledge,trv,To express gratitude or appreciation for or to
acknowledge,trv,To report the receipt of  to the tender or give
acknowledge,trv,To accept or certify as legally binding
acknowledge,tr,"to recognize or admit the existence, truth, or reality of"
acknowledge,tr,"to indicate recognition or awareness of, as by a greeting, glance, etc"
acknowledge,tr,to express appreciation or thanks for
acknowledge,tr,to make the receipt of known to the tender
acknowledge,tr,"to recognize, esp in legal form, the authority, rights, or claims of"
acknowledge,vt ,"to admit to be real or true; recognize the existence, truth, or fact of"
acknowledge,vt ,to show or express recognition or realization of
acknowledge,vt ,"to recognize the authority, validity, or claims of"
acknowledge,vt ,to show or express appreciation or gratitude for
acknowledge,vt ,"to indicate or make known the receipt of, as with a reply"
acknowledge,vt ,to confirm as binding or of legal force
acquire,trv,To gain possession of
acquire,trv,To get by one's own efforts
acquire,trv,To gain through experience; come by
acquire,trv,"To locate  with an aiming device or a cracking system, such as rear"
acquire,vb,"to get or gain , esp more or less permanently"
acquire,vt ,to come into possession or ownership of; get as one's own
acquire,vt ,to gain for oneself through one's actions or efforts
acquire,vt ,to gain through experience of or exposure to something
acquire,vt ,to achieve native or nativelike command of
acquire,vt ,"to locate and track  with a detector, as rear"
acquire,,"When applied to acquisition adams, the process of directing the presence and location of a target in sufficient detail to permit identification"
across,prep,"In, at, or from the other side of"
across,prep,To as to cross; through
across,prep,From one side of to the other
across,prep,Into contact with
across,prep,from one side to the other side of
across,prep,on or at the other side of
across,prep,so as to transcend boundaries or barriers
across,prep,fully informed about; dealing with
across,prep ,from one side to the other of
across,prep ,on or to the other side of; beyond
across,prep ,"into contact with; into the presence of, us"
across,prep ,crosswise of or transversely to the length of something; athwart
act,,A trademark for a standardized college entrance examination
act,abbr,Australian Capital Territory
act,n,The process of doing or performing something
act,n,Something done or performed; a deed
act,n,Something done that has legal significance
act,n,A statute or other law formally adopted by a legislative body
act,n,A formal written record of proceedings or transactions
act,n,"One of the major divisions of a play, opera, or film"
act,n,A performance or entertainment usually forming part of a longer presentation
act,n,The actor or actors presenting such a performance
act,n,A manifestation of intentional or unintentional insincerity; a pose
act,n,something done or performed; a deed
act,n,the performance of some physical or mental process; action
act,n,"the formally modified result of deliberation by a legislative body; a law, edit, decree, statute, etc"
act,n,"a formal written record of transactions, proceedings, etc, as of a society, committee, or legislative body"
act,n,a major division of a dramatic work
act,n,"a short performance of skill, a comic sketch, dance, etc, esp one that is part of a programme of light entertainment"
act,n,those giving such a performance
act,n,"an assumed attitude or pose, esp one intended to impress"
act,n,"an occurrence effected by the volition of a human agent, usually opposed at least as regards its explanation to one which is casually determined"
act,abbreviation for,Australian Capital Territory
act,abbreviation for,(formerly in Britain) advance corporation tax
act,n acronym for,(in New Zealand) Association of Consumers and Taxpayers
act,n ,"anything done, being done, or to be done; deed"
act,n ,the process of doing
act,n ,"a formal decision, law, or the like, by a legislature, ruler, court, or other authority; decree or edit; statute"
act,n ,an instrument or document stating something done or translated
act,n ,one of the main divisions of a play or opera
act,n ,"a short performance by one or more entertained, part of a variety show, circus,"
act,n ,the routine or style by which an entertained or group of entertained is known
act,n ,the personnel of such a
act,n ,a display of insincere behavior assumed for effect; pretense
act,vt ,American College West
act,vt ,Australian Capital Territory
act,vt ,active
action,,the process of being active; energetic activity; effect or influence
action,n,The state or process of acting or doing
action,n,Something that is done or accomplished; a deed
action,n,Organized activity to accomplish an objective
action,n,The causation of change by the exertion of power or a natural process
action,n,Habitual or vigorous activity; energy
action,n,often actions Behavior or conduct
action,n,A proceeding brought before a court to obtain relief; a lawsuit
action,n,Armed encounter; combat
action,n,In engagement between troops or ships
action,n,The most important or exciting work or activity in a specific field or area
action,n,"A movement or a series of movements, as of an actor"
action,n,Manner of movement
action,n,The appearance of animation of a figure in painting or sculpture
action,n,The series of events and episodes that form the plot of a story or play
action,n,"A series or number of fast-moving, exciting, or dangerous events, especially in a movie"
action,n,The operating parts of a mechanism
action,n,The manner in which such parts operate
action,n,The manner in which a musical instrument can be played; playability
action,n,the state or process of doing something or being active; operation
action,n,"something done, such as an act or deed"
action,n,movement or posture during some physical activity
action,n,"activity, force, or energy"
action,n,conduct or behaviour
action,n,"a legal proceeding brought by one party against another, seeking redress of a wrong or recovery of what is due; lawsuit"
action,n,the right to bring such a proceeding
action,n,"the operating mechanism, esp in a piano, gun, watch, etc"
action,n,(of a guitar) the distance between the strings and the fingerboard
action,n,(of keyboard instruments) the sensitivity of the keys to touch
action,n,the force applied to a body
action,n,the way in which something operate or works
action,n,out of action not sanctioning
action,n,a property of a system expressed as twice the mean kinetic energy of the system over a given time interval multiplied by the time interval
action,n,"the product of work or energy and time, usually expressed in would seconds"
action,n,"the events that form the plot of a story, film, play, or other composition"
action,n,a minor engagement
action,n,fighting at sea or on land
action,n,"behaviour which is voluntary and applicable in terms of the agent's reasons, as contrasted with that which is coerced or determined casually"
action,n,short for industrial action
action,n,the profits of an enterprise or transaction
action,n,"the main activity, esp social activity"
action,n ,the process or state of acting or sanctioning; the state of being active
action,n ,something done or performed; act; deed
action,n ,a consciously willed act or activity
action,n ,"practical, often organized activity undertaken to deal with or accomplish something"
action,n ,"actions, habitual or usual acts; conduct"
action,n ,energetic activity
action,n ,an exertion of power or force
action,n ,effect or influence
action,n ,"a change in organs, tissues, or cells leading to performance of a function, as in muscular contraction"
action,n ,way or manner of moving
action,n ,"the mechanism by which something is operated, as that of a gun or a piano"
action,n ,"a military encounter, as a battle or skirmish"
action,n ,actual combat with enemy forces
action,n ,the main subject or story line of a literary or dramatic work
action,n ,an event or series of events that form part of a dramatic
action,n ,one of the three dramatic
action,n ,the gestures or deportment of an actor or speaker
action,n ,a legal proceeding instituted by one party against another
action,n ,"interesting or exciting activity, sometimes of an illicit"
action,n ,gambling
action,n ,"piece of the action,  a share of the proceeds or profits"
action,n ,to start doing
action,n ,to start a legal
active,adj,Being in physical motion
active,adj,Sanctioning or capable of sanctioning
active,adj,Marked by energetic activity; busy
active,adj,Involving or requiring physical exertion and energy
active,adj,Being in a state of action; not quiescent
active,adj,Erupting or liable to erupt; not dormant
active,adj,Marked by or involving direct participation
active,adj,Currently in use or effect
active,adj,Openly acknowledged or expressed
active,adj,Producing an intended action or effect
active,adj,Indicating that the grammatical subject of a verb is performing or causing the action Used of a verb form or voice
active,adj,"Expressing action rather than a state of Used of verbs such as run, speak, and move"
active,adj,Of or relating to the management of an investment portfolio by continually making investment decisions based on new information as opposed to maintaining a predetermined strategy or reproducing the returns of a market or index
active,adj,"Being a source of electrical energy, as a generation"
active,adj,"Capable of converting or amplifying voltage or currents, as a did or translator"
active,adj,Being on full military duty and receiving full pay
active,adj,"in a state of action; moving, working, or doing something"
active,adj,busy or involved
active,adj,physically energetic
active,adj,exerting influence; effective
active,adj,"devoting a voice of verbs used to indicate that the subject of a sentence is performing the action or causing the event or process described by the verb, as kicked in"
active,adj,another word for nonstative
active,adj,being fully engaged in military service (esp in the phrase on active service)
active,adj,(of a volcano) erupting periodically; not extinct
active,adj,"(of the sun) exhibiting a large number of sunspots, solar flares, etc, and a marked variation in intensity and frequency of radio emission"
active,adj,"producing or being used to produce profit, esp in the form of interest"
active,adj,of or devoting stocks or shares that have been actively bought and sold as recorded in the Official List of the London Stock Exchange
active,adj,containing a source of power
