word,pos,dfns
accompany,verb,To be found at the same time
account,noun,"A registry of pecuniary transactions; a written or printed statement of business dealings or debts and credits, and also of other things subjected to a reckoning or review"
account,noun,A sum of money deposited at a bank and subject to withdrawal
account,noun,"A statement in general of reasons, causes, grounds, etc., explanatory of some event; a reason of an action to be done"
account,noun,"A reason, grounds, consideration, motive; a person's sake"
account,noun,A business relationship involving the exchange of money and credit
account,noun,A record of events; recital of transactions; a relation or narrative; a report; a description
account,noun,In estimate or estimation; valuation; judgment
account,noun,Importance; worth; value; esteem; judgement
account,noun,In authorization to use a service
account,noun,A reckoning; amputation; calculation; enumeration; a record of some reckoning
account,noun,Profit; advantage
account,verb,To provide explanation
account,verb,To count
accurate,adjective,Telling the truth or giving a true result; exact; not defective or faulty
accurate,adjective,Deviating only slightly or within acceptable limits
accurate,adjective,Precisely fixed; executed with care; careful
accuse,noun,Accusation
achieve,verb,"To succeed in something, now especially in academic performance"
achieve,verb,To carry out successfully; to accomplish
achieve,verb,"To conclude, finish, especially successfully"
achieve,verb,"To obtain, or gain (a desired result, objective etc.), as the result of exertion; to succeed in gaining; to win"
achieve,verb,"To conclude, to turn out"
achieve,verb,To obtain (a material thing)
achievement,noun,The act of achieving or performing; a successful performance; accomplishment
achievement,noun,A great or heroic deed or feat; something accomplished by valor or boldness
achievement,noun,In escutcheon or ensign arterial; now generally applied to the funeral shield commonly called parchment
achievement,noun,In award for completing a particular task or meeting an objective in a video game
achievement,noun,(grammar) The lexical aspect (aktionsart) of verbs or predicted that change in an instant
acknowledge,verb,To admit the knowledge of; to recognize as a fact or truth; to declare one's belief in
acknowledge,verb,"To own or recognize in a particular quality, character or relationship; to admit the claims or authority of; to give recognition to"
acknowledge,verb,To be grateful of (e.g. a benefit or a favour)
acknowledge,verb,To report (the receipt of a message to its tender)
acknowledge,verb,To own as genuine or valid; to assent to (a legal instrument) to give it validity; to avow or admit in legal form
acquire,verb,To get
acquire,verb,"To gain, usually by one's own exertions; to get as one's own"
acquire,verb,To contract
acquire,verb,To sample signals and convert them into digital values
across,noun,"(crossroads, often in combination) A word that runs horizontally in the completed puzzle grid or its associated clue"
act,noun,"Something done, a deed"
act,noun,Actuality
act,noun,"Something done once and for all, as distinguished from a work"
act,noun,"A product of a legislative body, a statute"
act,noun,The process of doing something
act,noun,A formal or official record of something done
act,noun,A division of a theatrical performance
act,noun,A performer or performer in a show
act,noun,Any organized activity
act,noun,A display of behaviour
act,noun,"A thesis maintained in public, in some English universities, by a candidate for a degree, or to show the proficient of a student"
act,noun,A display of behaviour meant to deceive
action,noun,Something done so as to accomplish a purpose
action,noun,A way of motion or sanctioning
action,noun,Last-paced activity
action,noun,A mechanism; a moving part or assembly
action,noun,"The mechanism, that is the set of moving mechanical parts, of a keyboard instrument, like a piano, which transfers the motion of the key to the sound-making device"
action,noun,The distance separating the strings and the footboard on a guitar
action,noun,Sexual intercourse
action,noun,Combat
action,noun,A charge or other process in a law court (also called lawsuit and action)
action,noun,"A mapping from a paring of mathematical objects to one of them, respecting their individual structures. The paring is typically a Cartesian product or a tenor product. The object that is not part of the output is said to act on the other object. In any given context, action is used as an abbreviations for a more fully named notion, like group action or left group action"
action,noun,"The product of energy and time, especially the product of the Lagrangian and time"
action,noun,"The event or connected series of events, either real or imaginary, forming the subject of a play, poem, or other composition; the unfolding of the drama of events"
action,noun,(painting and sculpture) The attitude or position of the several parts of the body as expressive of the sentiment or passion depicted
action,noun,Pin put on the bowing ball
action,noun,"A share in the capital stock of a joint-stock company, or in the public funds"
active,noun,A person or thing that is acting or capable of acting
active,noun,Any component that is not passive. See Passivity (engineering)
activity,noun,The state or quality of being active; activeness
activity,noun,Something done as an action or a movement
activity,noun,"Something done for pleasure or entertainment, especially one involving movement or an excursion"
activity,noun,(grammar) The lexical aspect (aktionsart) of verbs or predicted that change over time and have no natural end point
actor,noun,"A person who perform, plays a part in a theatrical play or film"
actor,noun,One who acts; a door
actor,noun,One who takes part in a situation
actor,noun,In advocate or doctor in civil courts or causes
actor,noun,One who institutes a suit; plaintiff or complaint
actor,noun,(policy debate) One who enacts a certain policy action
actor,noun,The entity that perform a role (in use case analysis)
actor,noun,"(grammar) The most agent-like argument of a clause, e.g. 'the topped' in ""The topped sank the boat"" and ""The topped fired"""
actress,noun,A female who perform on the stage or in films
actress,noun,"A female door or ""actor"" (in a general sense)"
actual,noun,"In actual, real one; notably"
actually,adverb,(moral) In act or in fact; really; in truth; positively
actually,adverb,Actively
ad,noun,Advertisement
ad,noun,Advantage
ad,noun,(dealing) advantage
ad,preposition,"To, toward"
adapt,verb,To make suitable; to make to correspond; to fit or suit
adapt,verb,To fit by alteration; to modify or removed for a different purpose; to adjust
adapt,verb,To make by altering or fitting something else; to produce by change of form or character
adapt,verb,To make oneself comfortable to a new thing
add,noun,In act or instance of adding
add,noun,In additional enemy that joins a fight after the primary target
addition,noun,The act of adding anything
addition,noun,Anything that is added
addition,noun,The arithmetic operation of adding
addition,noun,A dot at the right side of a note as an indication that its sound is to be lengthened one half
addition,noun,"A title annexed to a person's name to identify him or her more precisely, as in ""John Toe, Esq."", ""Robert Pale, Mason"", ""Thomas May, of New Work"""
addition,noun,"Something added to a coat of arms, as a mark of honour; opposed to abatement"
additional,noun,Something added
address,noun,Direction
address,noun,Preparation
administration,noun,"The act of administering; government of public affairs; the service rendered, or duties assumed, in conducting affairs; the conducting of any office or employment; direction"
administration,noun,"A body that administer; the executive part of government; the persons collectively who are entrusted with the execution of laws and the superintendent of public affairs; the chief magistrate and his cabinet or council; or the council, or ministry, alone, as in Great Britain"
administration,noun,"The act of administering, or rendering something to another; dispensations"
administration,noun,Management
administration,noun,In arrangement whereby an insolent company can continue trading under supervision
admire,verb,To be amazed at; to view with surprise; to marvel at
admire,verb,To regard with wonder and delight
admire,verb,"To look upon with an elevated feeling of pleasure, as something which calls out approbation, esteem, love or reverence"
admire,verb,To estimate or value highly; to hold in high esteem
admire,verb,To be enthusiastic about (doing something); to want or like (to do something). (Sometimes followed by to.)
admit,verb,"To allow to enter; to grant entrance (to), whether into a place, into the mind, or into consideration"
admit,verb,To allow (someone) to enter a profession or to enjoy a privilege; to recognize as qualified for a franchise
admit,verb,"To concede as true; to acknowledge or assent to, as an allegation which it is impossible to deny"
admit,verb,"To be capable of; to permit. In this sense, ""of"" may be used after the verb, or may be omitted"
admit,verb,"To give warrant or allowance, to grant opportunity or permission (+ of)"
admit,verb,To allow to enter a hospital or similar facility for treatment
adopt,verb,"To take by choice into relationship (a child, heir, friend, citizen, etc.)"
adopt,verb,To take or receive as one's own what is not so naturally
adopt,verb,To select and take or approve
adopt,verb,To win ten consecutive games against an opponent
adult,noun,A fully grown human or animal
adult,noun,A person who has reached the legal age of majority
advance,noun,A forward move; improvement or progression
advance,noun,"In amount of money or credit, especially given as a loan, or paid before it is due; an advancement"
advance,noun,In addition to the price; rise in price or value
advance,noun,"(in the plural) In opening approach or overture, especially of an unwelcome or sexual nature"
advanced,verb,To promote or advantage
advanced,verb,To move forward in space or time
advanced,verb,"To raise, be raised"
advantage,noun,"Any condition, circumstance, opportunity or means, particularly favorable to success, or to any desired end"
advantage,noun,Superiority; mastery; — used with of to specify its nature or with over to specify the other party
advantage,noun,"Superiority of state, or that which gives it; benefit; gain; profit"
advantage,noun,The score where one player wins a point after deuce but needs the next to carry the game
advantage,noun,"The continuation of the game after a foul against the attacking team, because the attacking team are in an advantageous position"
advantage,noun,Interest of money; increase; overalls (as the thirteenth in the baker's dozen)
adventure,noun,"The encountering of risks; a bold undertaking, in which dangers are likely to be encountered, and the issue is staked upon unforeseen events; a daring feat"
adventure,noun,A remarkable occurrence; a striking event
adventure,noun,A mercantile or speculative enterprise of hazard; a venture; a shipment by a merchant on his own account
adventure,noun,A feeling of desire for new and exciting things
adventure,noun,A text adventure or an adventure game
adventure,noun,That which happens by chance; hazard; had
adventure,noun,Chance of danger or loss
adventure,noun,Risk; danger; peril
adventure,verb,To risk or hazard; jeopardy; venture
adventure,verb,To venture upon; to run the risk of; to dare
adventure,verb,To try the chance; to take the risk
advertise,verb,To give (especially public) notice of (something); to announce publicly
advertise,verb,To provide information about a person or goods and services to influence others
advertise,verb,"To provide public information about (a product, service etc.) in order to attract public awareness and increase sales"
advertise,verb,To notify (someone) of something; to call someone's attention to something
advertise,verb,"In gin mummy, to discard a card of one's preferred suit so as to mislead the opponent into thinking you do not want it"
advertisement,noun,"A commercial solicitation designed to sell some commodity, service or similar"
advertisement,noun,A public notice
advertisement,noun,"A recommendation of a particular product, service or person"
advertisement,noun,Notoriety
advertisement,noun,"In gin mummy, the discarding of a card of one's preferred suit so as to mislead the opponent into thinking you do not want it"
advertising,verb,To give (especially public) notice of (something); to announce publicly
advertising,verb,To provide information about a person or goods and services to influence others
advertising,verb,"To provide public information about (a product, service etc.) in order to attract public awareness and increase sales"
advertising,verb,To notify (someone) of something; to call someone's attention to something
advertising,verb,"In gin mummy, to discard a card of one's preferred suit so as to mislead the opponent into thinking you do not want it"
advice,noun,In opinion offered in an effort to be helpful
advice,noun,Deliberate consideration; knowledge
advice,noun,(commonly in plural) Information or news given; intelligence
advice,noun,"In language about financial transactions executed by formal documents, an advisory document"
advice,noun,"In commercial language, information communicated by letter; used chiefly in reference to drafts or bills of exchange"
advice,noun,"A communication providing information, such as how an uncertain area of law might apply to possible future actions"
advice,noun,Counselling to perform a specific legal act
advice,noun,Counselling to perform a specific illegal act
advice,noun,"In aspect-tormented programming, the code whose execution is trigger when a join point is reached"
advise,verb,"To give advice to; to offer an opinion to, as worthy or expedient to be followed"
advise,verb,To recommend; to offer as advice
advise,verb,To give information or notice to; to inform or counsel; — with of before the thing communicated
advise,verb,"To consider, to deliberate"
advise,verb,"To look at, watch; to see"
advise,verb,To consult (with)
affair,noun,"(often in the plural) Something which is done or is to be done; business of any kind, commercial, professional, or public"
affair,noun,Any proceeding or action which it is wished to refer to or characterize vaguely
affair,noun,In action or engagement not of sufficient magnitude to be called a battle
affair,noun,A material object (vaguely designate)
affair,noun,In adulterous relationship. (from affaire de your)
affair,noun,"A romantic relationship with someone who is not one's regular partner (boyfriend, girlfriend)"
affair,noun,A person with whom someone has an adulterous relationship
affair,noun,"A party or social gathering, especially of a formal nature"
affair,noun,The (male or female) genitals
affect,verb,To influence or alter
affect,verb,To move to emotion
affect,verb,"Of an illness or condition, to infect or harm (a part of the body)"
affect,verb,To dispose or incline
affect,verb,To tend to by affinity or disposition
affect,verb,To assign; to appoint
affect,verb,To make a show of; to put on a pretense of; to reign; to assume. To make a false display of
affect,verb,"To aim for, to try to obtain"
affect,verb,"To feel affection for (someone); to like, be fond of"
affect,verb,To show a fondness for (something); to choose
affect,noun,One's mood or inclination; mental state
affect,noun,"A desire, an appetite"
affect,noun,"A subjective feeling experienced in response to a thought or other stimulus; mood, emotion, especially as demonstrated in external physical signs"
afford,verb,"To incur, stand, or bear without serious detriment, as an act which might under other circumstances be injurious;—with an axillary, as can, could, might, etc.; to be able or rich enough"
afford,verb,"To offer, provide, or supply, as in selling, granting, extending, with profit, or without loss or too great injury"
afford,verb,"To give forth; to supply, yield, or produce as the natural result, fruit, or issue"
afford,verb,"To give, grant, or confer, with a remote reference to its being the natural result; to provide; to furnish"
afraid,adjective,"(usually used predicatively, not attributively, be afraid) Impressed with fear or apprehension; in fear"
afraid,adjective,"Regretful, sorry"
afraid,adjective,"(used with for) Worried about, feeling concern for, fearing for (someone or something)"
after,adjective,"Later; second (of two); next, following, subsequent"
after,adjective,(where the frame of reference is within the ship) It or towards the stern of a ship
afternoon,noun,"The part of the day from noon or lunchtime until sunset, evening, or summertime or pm"
afternoon,noun,"The later part of anything, often with implication of decline"
afternoon,noun,A party or social event held in the afternoon
afterwards,adverb,(temporal location) It a later or succeeding time
again,adverb,Another time; once more
again,adverb,Over and above a factor of one
again,adverb,"Used metalinguistically, with the repetition being in the discussion, or in the linguistic or traumatic context of the discussion, rather than in the subject of discussion"
again,adverb,"Back in the reverse direction, or to an original starting point"
again,adverb,Back (to a former place or state)
again,adverb,"In return, as a reciprocal action; back"
again,adverb,In any other place
again,adverb,In the other hand
again,adverb,Moreover; besides; further
against,preposition,In a contrary direction to
against,preposition,In physical opposition to; in collision with
against,preposition,"In physical contact with, so as to but or be supported by"
against,preposition,"Close to, alongside"
against,preposition,In front of; before (a background)
against,preposition,In contrast or comparison with
against,preposition,"In competition with, versus"
against,preposition,Contrary to; in conflict with
against,preposition,In opposition to
against,preposition,"Of betting odds, devoting a worse-than-even chance"
against,preposition,In exchange for
against,preposition,Is counterbalance to
against,preposition,Is a charge on
against,preposition,Is protection from
against,preposition,"In anticipation of; in preparation for (a particular time, event etc.)"
against,preposition,"(Hollywood) To be paid now in contrast to the following amount to be paid later under specified circumstances, usually that a movie is made or has started filling"
against,preposition,Exposed to
age,noun,"The whole duration of a being, whether animal, plant, or other kind, being alive"
age,noun,"The number of full years, months, days, hours, etc., that someone, or something, has been alive"
age,noun,One of the stages of life
age,noun,The time of life at which some particular power or capacity is understood to become vested
age,noun,"A particular period of time in history, as distinguished from others"
age,noun,A great period in the history of the Earth
age,noun,A period of one hundred years; a century
age,noun,The people who live during a particular period
age,noun,A generation
age,noun,A long time
age,noun,A unit of geology time subdividing an epoch into smaller parts
age,noun,"The right of the player to the left of the dealer to pass the first round in betting, and then to come in last or stay out; also, the player holding this position; the eldest hand"
age,noun,That part of the duration of a being or a thing which is between its beginning and any given time; specifically the size of that part
age,noun,"Nature age; especially, the time of life at which one attains full personal rights and capacities"
age,noun,"In advanced period of life; the latter part of life; the state of being old; old, seniority"
aged,verb,To cause to grow old; to impart the characteristics of age to
aged,verb,"To postpone an action that would extinguish something, as a debt"
aged,verb,To categories by age
aged,verb,To grow aged; to become old; to show marks of age
agency,noun,"The capacity, condition, or state of acting or of exerting power"
agency,noun,The capacity of individuals to act independently and to make their own free choice
agency,noun,A medium through which power is exerted or an end is achieved
agency,noun,"The office or function of an agent; also, the relationship between a principal and that person's agent"
agency,noun,"In establishment engaged in doing business for another; also, the place of business or the district of such an agency"
agency,noun,"A department or other administrative unit of a government; also, the office or headquarters of, or the district administered by such unit of government"
agenda,noun,A temporary organized plan for matters to be attended to
agenda,noun,A list of matters to be taken up (as at a meeting)
agenda,noun,"A notebook used to organize and maintain such plans or lists, an agenda book, an agenda planner"
agenda,noun,A hidden agenda
agenda,noun,A ritual
agent,noun,"One who exerts power, or has the power to act"
agent,noun,"One who acts for, or in the place of, another (the principal), by authority from him/her; someone entrusted to do the business of another"
agent,noun,A person who looks for work for another person
agent,noun,Someone who works for an intelligence agency
agent,noun,In active power or cause or substance; something which has the power to produce an effect
agent,noun,"In the client-server model, the part of the system that perform information preparation and exchange on behalf of a client or server. Especially in the phrase “intelligent agent” it implies some kind of autonomous process which can communicate with other agents to perform some collective task on behalf of one or more humans"
agent,noun,"(grammar) The participant of a situation that carries out the action in this situation, e.g. ""the boy"" in the sentences ""The boy kicked the ball"" and ""The ball was kicked by the boy"""
agent,noun,A cheat who is assisted by dishonest causing staff
aggressive,adjective,Characterized by aggression; unjustly attacking; prone to behave in a way that involves attacking or arguing
aggressive,adjective,"Of heuristics, source code optimization technique, etc.: explaining every opportunity to be applied"
aggressive,adjective,(of a tumour or disease) That spreads quickly or extensively; virulent; malignant
ago,adjective,One; gone by; gone away; passed; passed away
ago,adjective,Early gone; dead (used in Devonshire at the turn of the with century)
agree,verb,"To harmonize in opinion, statement, or action; to be in unison or concord; to be or become united or consistent; to concur"
agree,verb,To yield assent; to acceded;—followed by to
agree,verb,To yield assent to; to approve
agree,verb,To make a stipulation by way of settling differences or determining a price; to exchange promises; to come to terms or to a common resolve; to promise
agree,verb,To be comfortable; to resemble; to coincide; to correspond
agree,verb,(now always with with) To suit or be adapted in its effects; to do well
agree,verb,"(grammar) To correspond to (another word) in a grammatical category, such as gender, number, case, or person"
agree,verb,To consent to a contract or to an element of a contract
agreement,noun,In understanding between entitles to follow a specific course of conduct
agreement,noun,A state whereby several parties share a view or opinion; the state of not contradicting one another
agreement,noun,A legally binding contract enforceable in a court of law
agreement,noun,(grammar) Rules that exist in many languages that force some parts of a sentence to be used or infected differently depending on certain attributes of other parts
agreement,noun,(chiefly in the plural) In agreeable quality
ah,pronoun,"The speaker or writer, referred to as the grammatical subject, of a sentence"
ah,pronoun,"The speaker or writer, referred to as the grammatical object, of a sentence"
ahead,adverb,In or to the front; in advance; onward
ahead,adverb,In the direction one is facing or moving
ahead,adverb,In or for the future
ahead,adverb,It an earlier time
ahead,adverb,Having progressed more
aid,noun,"Help; assistance; succor, relief"
aid,noun,A helper; an assistant
aid,noun,Something which helps; a material source of help
aid,noun,"In historical subsidy granted to the crown by Parliament for an extraordinary purpose, such as a war effort"
aid,noun,In exchequer loan
aid,noun,A pecuniary tribute paid by a vassal to his feudal lord on special occasions
aid,noun,"In aide-de-camp, so called by abbreviations"
aid,verb,To provide support to; to further the progress of; to help; to assist
aid,verb,To climb with the use of aids such as icons
aim,noun,"The pointing of a weapon, as a gun, a dart, or an arrow, or object, in the line of direction with the object intended to be struck; the line of fire; the direction of anything, such as a spear, a blow, a discourse, a remark, towards a particular point or object, with a view to strike or affect it"
aim,noun,"The point intended to be hit, or object intended to be attained or affected"
aim,noun,Intention or goal
aim,noun,The ability of someone to aim straight; one's faculty for being able to hit a physical target
aim,noun,Conjecture; guess
aim,noun,Initialism of America Online. AIM; AOL Instant Messenger
air,noun,"The substance constituting earth's atmosphere, particularly"
air,noun,"(usually with the) The apparently open space above the ground which this substance fills, formerly thought to be limited by the firmament but now considered to be surrounded by the near vacuum of outer space"
air,noun,A breeze; a gentle wind
air,noun,A feeling or sense
air,noun,"A sense of noise, graciousness, or quality"
air,noun,(usually in the plural) Pretension; snobbishness; pretence that one is better than others
air,noun,"A song, especially a solo; an area"
air,noun,Nothing; absence of anything
air,noun,In air conditioned or the processes air it produces
air,noun,Any specific gas
air,noun,(motor sports) A jump in which one becomes airborne
air,noun,A television or radio signal
air,noun,Publicity
aircraft,noun,"A vehicle capable of atmosphere flight due to interaction with the air, such as buoyant or lift"
airline,noun,A company that flies airplane to transport people and goods
airport,noun,"In fairfield (an area designate for the takeoff and landing of aircraft), including one or more sundays and (for commercial airport) one or more passenger terminals"
alarm,noun,"A summons to arms, as on the approach of an enemy"
alarm,noun,Any sound or information intended to give notice of approaching danger; a warning sound to arouse attention; a warning of danger
alarm,noun,A sudden attack; disturbance
alarm,noun,"Sudden surprise with fear or terror excited by apprehension of danger; in the military use, commonly, sudden apprehension of being attacked by surprise"
alarm,noun,"A mechanical device for waking people, or rousing their attention"
alarm,noun,"In instance of an alarm ringing, keeping or clanging, to give a noise signal at a certain time"
album,noun,"A book specially designed to keep photographs, stamps, or autographs"
album,noun,"A collection, especially of literary items"
album,noun,A photograph record that is composed of several tracks
album,noun,A jacket or cover for such a photograph record
album,noun,"A group of audit recording, on any medium, intended for distribution as a group"
album,noun,"In Ancient Some, a white tablet or register on which the rhetor's exists and other public notices were recorded"
alcohol,noun,Any of a class of organic compounds (such as ethanol) containing a hydroxyl functional group (-of)
alcohol,noun,Ethanol
alcohol,noun,"Beverages containing ethanol, collectively"
alcohol,noun,Any very fine powder
alcoholic,noun,A person addicted to alcohol
alcoholic,noun,One who abuses alcohol
alive,adjective,Having life; living; not dead
alive,adjective,In a state of action; in force or operation; extent
alive,adjective,Busy with activity of many living beings; swarming; thronged; busy
alive,adjective,Brightly; lively; brisk
alive,adjective,"Susceptible; easy to impress; having keen feelings, as opposed to apathy"
alive,adjective,(as an intensified) out of all living creatures
all,noun,(with a possession profound) Everything that one is capable of
all,noun,The vitality of one's possessions
allow,verb,"To grant, give, admit, accord, afford, or yield; to let one have"
allow,verb,To acknowledge; to accept as true; to concede; to acceded to an opinion
allow,verb,To grant (something) as a deduction or an addition; especially to abate or deduce
allow,verb,To grant license to; to permit; to consent to
allow,verb,To not bar or obstruct
allow,verb,To acknowledge or concede
allow,verb,To take into account by making an allowance
allow,verb,To render physically possible
allow,verb,"To praise; to approve of; hence, to sanction"
allow,verb,To sanction; to invest; to entrust
allow,verb,To like; to be suited or pleased with
almost,noun,Something or someone that doesn't quite make it
alone,adjective,"By oneself, solitary"
alone,adjective,"Part from, or exclusive of, others"
alone,adjective,Considered separately
alone,adjective,Without equal
alone,adjective,Unique; rare; matchless
along,adverb,In company; together
along,adverb,"Inward, forward, with progressive action"
already,adverb,"Prior to some specified time, either past, present, or future; by this time; previously"
already,adverb,To soon
already,adverb,In intensified used to emphasize impatience or express exasperation
also,adverb,(focus) In addition; besides; as well; further; too
also,adverb,"To the same degree or extent; so, as"
alter,verb,To change the form or structure of
alter,verb,To become different
alter,verb,To tailor clothes to make them fit
alter,verb,"To castrated, never or say (a dog or other animal)"
alter,verb,"To affect mentally, as by psychotropic drugs or illness"
alter,noun,(especially in the plural) In identity or headmaster of a person with dissociative identity disorder (previously known as multiple personality disorder)
alter,noun,A table or similar flat-topped structure used for religious rates
alter,noun,A raised area around an altar in a church; the sanctuary
alter,noun,Anything that is worshipped or sacrificed to
alternative,noun,A situation which allows a mutually exclusive choice between two or more possibilities; a choice between two or more possibilities
alternative,noun,One of several mutually exclusive things which can be chosen
alternative,noun,The remaining option; something available after other possibilities have been exhausted
alternative,noun,Alternative rock
although,conjunction,"Though, even though, in spite of or despite the fact that: introducing a clause that expresses a concession"
although,conjunction,"But, except"
always,adverb,It all times; throughout all time; since the beginning
always,adverb,"Constantly during a certain period, or regularly at stated intervals (opposed to sometimes or occasionally)"
always,adverb,In any event
amazed,verb,"To fill with wonder and surprise; to astonish, around, surprise or perplex"
amazed,verb,To undergo amazement; to be astounded
amazed,verb,To stuffy; to knock unconscious
amazed,verb,To bewildered; to stuffy; to bring into a made
amazed,verb,"To terrify, to fill with panic"
amazing,verb,"To fill with wonder and surprise; to astonish, around, surprise or perplex"
amazing,verb,To undergo amazement; to be astounded
amazing,verb,To stuffy; to knock unconscious
amazing,verb,To bewildered; to stuffy; to bring into a made
amazing,verb,"To terrify, to fill with panic"
