word,pos,dfns
absolutely,adverb,completely
absolutely,adverb,"used for adding force to a strong adjective that is not usually used with ""very"" or to a verb expressing strong emotion"
absolutely,adverb,"used as a strong way of saying ""yes"""
absolutely,adverb,"used as a strong way of saying ""no"""
absolutely,adverb,completely; beyond any doubt
absolutely,adverb,Absolutely is also used in conversation to show emphasis in agreeing to something
absolutely,adverb,"Of you say absolutely not, you are showing emphasis in not agreeing to something"
academic,adjective,"relating to schools, colleges, and universities, or connected with studying and thinking, not with practical skill"
academic,adjective,used to describe someone who is clever and enjoys studying
academic,adjective,based on ideas and theories and not related to practical effects in real life
academic,noun,"someone who reaches at a college, or who studies as part of their job"
academic,noun,the subjects that you study in high school or college
academic,adjective,"relating to schools, esp. colleges and universities, or connected with studying and thinking and not with useful skill"
academic,adjective,not important because it is based only on possibilities
academic,noun,a person who reaches in a college or university
academic,adjective,"relating to schools, colleges, and universities, or connected with studying and thinking rather than practical skill"
academic,adjective,interested in studying and successful at school work
academic,noun,"a person who reaches at a college, or who studies as part of their job"
accept,verb,to agree to take something
accept,verb,to say yes to an offer or invitation
accept,verb,to consider something or someone as satisfactory
accept,verb,to believe that something is true
accept,verb,"to agree to take something, or to consider something as satisfactory, reasonable, or true"
accept,verb,"Of you accept an offer or an invitation, you say yes to it"
accept,verb,To accept is also to allow someone to become a member of an organization or group
accept,verb,To accept is also to consider someone as now belonging to your group as an equal
accept,verb,to agree to take something
accept,verb,to say yes to an offer or invitation
accept,verb,to consider something or someone as satisfactory
accept,verb,to agree to provide insurance for something or someone
accept,verb,to agree to pay a bill of exchange
acceptable,adjective,satisfactory and able to be agreed to or approved of
acceptable,adjective,"just good enough, but not very good"
acceptable,adjective,satisfactory; good enough
acceptable,adjective,"Of behavior is acceptable, it is considered to be within the range of behavior that is permitted and is not disapproved"
access,noun,the method or possibility of getting near to a place or person
access,noun,the right or opportunity to use or look at something
access,verb,to be able to get to or get inside a place
access,verb,to be able to use or obtain something such as a service
access,verb,"to open a computer file, a webster, etc. in order to look at or change information in it"
access,noun,"the method or way of approaching a place or person, or the right to use or look at something"
access,noun,Access to something can also mean the opportunity or ability to use it
access,verb,"to get information, esp. when using a computer"
access,noun,the right or opportunity to use or receive something
access,noun,the right or ability to look at documents and information
access,noun,"the ability to use a system such as the internet, or the way in which you can do this"
access,noun,the method or possibility of getting to or entering a place
access,noun,the right or ability to buy and sell goods in a particular country or market
access,noun,"the right to use a bank account, or to remove money from a bank account or an investment"
access,noun,"the legal right to see your child or children, or other family member, especially after a divorce"
access,verb,to open a computer file or to use a computer system such as the internet
access,verb,"to look at a bank account, and be able to move money into or out of it"
access,verb,"to be able to get or use something, especially a service"
accident,noun,something bad that happens that is not expected or intended and that often damages something or injuries someone
accident,noun,"something that happens by chance, without anyone intending or planning it"
accident,noun,an event not intended by anyone but which has the result of injuring someone or damaging something
accident,noun,something that happens unexpectedly and unintentionally
accommodation,noun,a place to stay or live
accommodation,noun,"a particular type of place to sit or sleep on a train, boat, etc."
accommodation,noun,"an agreement between two groups who have different opinions on a subject, or the process of reaching an agreement like this"
accommodation,noun,a special arrangement that is made for a person or group that has different needs to others
accommodation,noun,the process by which an eye is able to focus by changing the shape of the lens
accommodation,noun,the process in which someone changes their accent or other things about the way that they speak according to the speech style or behaviour of the person who they are speaking to
accommodation,noun,a process in which a speech sound is changed according to the sound that comes directly before or after it
accommodation,noun,"a place in which to live, work, stay, etc."
accommodation,noun,a satisfactory arrangement between people who disagree about something
accommodation,noun,"a loan that is made temporarily to someone who needs money quickly, in order to give them time to make a formal arrangement for a loan"
accompany,verb,to go with someone or to be provided or exist at the same time as something
accompany,verb,to show someone how to get to somewhere
accompany,verb,to go with someone to a social event or to an entertainment
accompany,verb,to sing or play an instrument with another musician or singer
accompany,verb,to go with someone or to exist at the same time as something
accompany,verb,"In music, to accompany is to play an instrument in support of someone who is playing an instrument or singing"
account,noun,an arrangement with a bank to keep your money there and to allow you to take it out when you need to
account,noun,a written or spoken description or record of an event
account,noun,as said by most people
account,noun,"Of something is true by your own account, what you say is true although you have not proved it"
account,noun,because of something
account,noun,an agreement with a shop or business that allows you to buy things and pay for them later
account,noun,a customer who does business with a company
account,noun,an arrangement to use a social media webster or internet service by a particular person who gives their name and some personal details
account,noun,to not be important
account,verb,to think of someone or something in the stated way
account,noun,money kept in a bank or other organization that you can add to or take back
account,noun,In account is also an arrangement with a store or a company that allows you to buy things and pay for them later
account,noun,a written or spoken description of an event
account,noun,an arrangement with a bank in which the customer puts in and takes out money and the bank keeps a record of it
account,noun,an agreement with a store or company that allows you to buy things and pay for them later
account,noun,"a record of money received, spent, or owed"
account,noun,a customer who does business regularly with a company
account,noun,"an agreement with a company that allows you to use the internet and email, and gives you space on the internet to put your documents"
account,noun,to be paid for at a later time
account,noun,paid as part of the total amount owed
accurate,adjective,"correct, exact, and without any mistakes"
accurate,adjective,correct and without any mistakes
accurate,adjective,exactly aimed and moving on an intended path
accurate,adjective,correct and without any mistakes
accuse,verb,"to say that someone has done something morally wrong, illegal, or unkind"
accuse,verb,"Of you stand accused of doing something wrong, people say that you have done it"
accuse,verb,to say that someone is responsible for a crime or for having done something wrong
accuse,verb,to say that someone has done something wrong or illegal
achieve,verb,"to succeed in finishing something or reaching an aim, especially after a lot of work or effort"
achieve,verb,to do or obtain something that you wanted after planning and working to make it happen
achieve,verb,"to successfully finish or do something you wanted to do, especially after a lot of effort"
achievement,noun,something very good and difficult that you have succeeded in doing
achievement,noun,"something that you did or got after planning and working to make it happen, and that therefore gives you a feeling of satisfaction, or the act of working to make this happen"
achievement,noun,"something that a person, company, etc. has done or finished successfully"
achievement,noun,the act of achieving something or of achieving things generally
acknowledge,verb,"to accept, admit, or recognize something, or the truth or existence of something"
acknowledge,verb,"to tell someone, usually in a letter or email, that you have received something they sent you"
acknowledge,verb,to show that you have seen someone
acknowledge,verb,to accept the truth or recognize the existence of something
acknowledge,verb,to let someone know that you have received something that they sent to you
acquire,verb,to get or obtain something
acquire,verb,"to buy a business or property, or buy shares in a business"
acquire,verb,"to buy or obtain the right to sell or publish something, for example the right to publish a particular work or the works of a particular writer"
acquire,verb,to gradually learn or gain something such as a language or skill
acquire,verb,to develop a medical condition or catch a disease that you were not born with
acquire,verb,to obtain or begin to have something
acquire,verb,"to buy or take control of a company or part of a company, often by buying shares in it"
acquire,verb,to get the legal right to use or do something
acquire,verb,to get something that is important to your business
acquire,verb,to get something that is important to you in your job
across,adverb,"from one side to the other of something with clear limits, such as an area of land, a road, or a river"
across,preposition,on the opposite side of
across,preposition,in every part of a particular place or country
across,preposition,"from one side to the other side of, or at the other side of"
across,preposition,"Of something is happening across the country, it is happening in all parts of the country"
act,verb,to behave in the stated way
act,verb,to do something for a particular purpose or to solve a problem
act,verb,to have an effect
act,verb,"to perform a part in a film, play, etc."
act,verb,"to behave in a particular, usually bad, way"
act,noun,something that you do
act,noun,behaviour that hides your real feelings or intentions
act,noun,"a person or group that perform a short piece in a show, or the piece that they perform"
act,noun,a part of a play or opera
act,noun,a law or formal decision made by a parliament or other group of people who make the laws for their country
act,verb,to do something for a particular purpose or in a particular way
act,verb,"to perform in a movie, play, or television show"
act,noun,a law made by Congress or another legislature
act,noun,"one of a set of short performances that are parts of a show, or the person or group who perform one of these parts"
act,noun,In act is also one of the main parts of a play or opera
act,noun,something that someone does
act,noun,a law or formal decision made by a parliament or other group of elected law-makers
act,noun,to be so good that it is unlikely that anyone or anything that comes after will be as good
act,noun,to take advantage of or become involved with something that someone else started
act,noun,to organize yourself so that you do things in an effective way
act,verb,to do something with the intention of achieving a particular result
act,verb,to do something believing that it is the right thing to do
action,noun,"the process of doing something, especially when dealing with a problem or difficulty"
action,noun,something that you do
action,noun,a physical movement
action,noun,"things that are happening, especially exciting or important things"
action,noun,a style of film in which a lot of exciting and often violent things happen
action,noun,at the place where something important or interesting is happening
action,noun,the effect something has on another thing
action,noun,fighting in a war
action,noun,"A soldier or other member of the armed forces who is missing in action cannot be found after a battle or other military action, so it is not possible to say if they are dead or alive. "
action,noun,the way something moves or works
action,noun,a legal process that is decided in a law court
action,verb,to do something to deal with a particular problem or matter
action,noun,"the process of doing something, or something done, esp. for a particular purpose"
action,noun,Action is also fighting in a war
action,noun,"In an action film/movie, there is usually a lot of violence and many exciting things happen"
action,noun,"the way something moves or works, or the effect it has on something else"
action,noun,a process in a court of law to correct a wrong by which a person or group claims to have been hurt
action,noun,"the process of doing something, especially in order to deal with a problem or difficult situation"
action,noun,"something that you do, especially in order to deal with a problem or difficult situation"
action,noun,"important things that are happening in a market, etc."
action,noun,a legal process that is decided in a court of law
action,noun,to begin working to make an idea or a plan happen or be successful
action,noun,"a way of dealing with a problem or difficult situation, or achieving something"
action,noun,involvement in something successful that someone else has started
action,verb,"to do something to deal with a particular task, problem, or plan"
active,adjective,busy with a particular activity
active,adjective,involved in a particular activity
active,adjective,In active volcano is one that might erupt at any time
active,adjective,In active verb or sentence is one in which the subject is the person or thing that perform the stated action
active,noun,→  the active voice
active,adjective,"doing something as you usually do, or being able to do something physically or mentally"
active,adjective,"In active volcano is one that might begin to throw out hot gases, liquid, or rocks at any time"
active,adjective,describing a verb or sentence in which the subject is the person or thing that does what is stated
active,adjective,busy with or involved in a particular activity
active,adjective,doing something practical rather than allowing a situation to develop by itself
active,adjective,"involving a lot of buying and selling of shares, etc."
active,adjective,"used to describe a company that is selling goods and services or doing business, especially in a particular place"
active,adjective,working or being used at a particular time
active,adjective,"relating to programs, etc. that are being used at a particular time"
activity,noun,the situation in which a lot of things are happening or people are moving around
activity,noun,the work of a group or organization to achieve an aim
activity,noun,"something that is done for enjoyment, especially an organized event"
activity,noun,"the doing of something, or something that you are doing, have done, or could do"
activity,noun,a situation in which a lot of things are happening or being done
activity,noun,"the work of a person, group, or organization to achieve something, especially to make money"
actor,noun,"someone who pretends to be someone else while performing in a film, play, or television or radio programme"
actor,noun,"a person or an organization that is involved in or important in politics, society, etc. in some way because of their actions"
actor,noun,a person who plays the part of a character in a movie or play
actress,noun,"a woman who pretends to be someone else while performing in a film, play, or television programme"
actual,adjective,existing in fact
actual,adjective,really
actual,adjective,real; existing in fact
actual,adjective,true or exact
actual,adjective,"real, rather than part of an idea or plan"
actual,adjective,"real, not on the internet"
actual,noun,"an amount of money that a company really spends, rather than an amount of money that it plans or expects to spend"
actual,noun,"something that physically exists such as oil, metal, grain, or coffee that is traded on the stock market"
actually,adverb,in fact or really
actually,adverb,used in sentences in which there is information that is in some way surprising or the opposite of what most people would expect
actually,adverb,"used as a way of making a sentence slightly more polite, for example when you are expressing an opposing opinion, correcting what someone else has said, or refusing an offer"
actually,adverb,"used to say that something is true, esp. when the true situation may not be known"
actually,adverb,Actually is often used when you want to emphasize that something is surprising or unusual
ad,noun,informal for an advertisement
AD,adverb,"abbreviations for  No Coming : a Latin phrase meaning ""in the year of the Word"", which is used when referring to a year after Jesus Christ was born"
AD,noun,abbreviations for  Alzheimer's Disease
ad,noun,short form advertisement
A.D.,,"abbreviations for No Coming, used to show that a year is after the year in which Jesus Christ is thought to have been born"
ad,noun,an advertisement
ad,adjective,advertising
adapt,verb,"to change, or to change something, to suit different conditions or uses"
adapt,verb,to change your ideas or behaviour to make them suitable for a new situation
adapt,verb,"Of a living thing adapt, it changes slightly over time so it can continue to exist in a particular environment"
adapt,verb,"to adjust to different conditions or uses, or to change to meet different situations"
adapt,verb,to become familiar with a new situation
adapt,verb,to change something to suit different conditions or uses
add,verb,to put two or more numbers or amounts together to get a total
add,verb,to put something with something else to increase the number or amount or to improve the whole
add,verb,to say another thing
ADD,noun,"abbreviations for Attention Deficit Disorder: a name used mainly in the 1980s for a condition in which someone, especially a child, is often in a state of activity or excitement and unable to direct their attention towards what they are doing"
add,verb,to put something with something else to increase the number or amount or to make it more important
add,verb,to calculate the total of a group of numbers
add,verb,to put something with something else in order to improve it or increase the number or amount
add,verb,to put one number or amount with another in order to calculate a total
add,verb,"to increase in value by a particular amount, or to make something increase in value by a particular amount"
addition,noun,the process of adding numbers or amounts together
addition,noun,as well (as)
addition,noun,something that has been added to something else
addition,noun,someone new who has joined or been added to a group
addition,noun,the act of adding a substance or thing to something else
addition,noun,a new part added to a house or other building
addition,noun,the process of calculating the total of a group of numbers
addition,noun,"the joining of something to something else to make it larger or more important, or the person or thing that joins something"
addition,noun,something extra that is added to something
addition,noun,the act of adding something to something else
addition,noun,a new part added to a building
addition,noun,used for saying that something else exists or is included
additional,adjective,extra
additional,adjective,put with something else to increase the number or amount or to make it more important
additional,adjective,extra
additional,adjective,"resulting in a reduction in the amount of carbon dioxide gas that is released into the environment, which would not have happened without trading carbon credits"
address,noun,"the number of the house, name of the road, and name of the town where a person lives or works, and where letters can be sent"
address,noun,a place where someone lives
address,noun,a series of letters and symbols that tell you where to find something on the internet or show where an email is sent to
address,noun,the place where a piece of information is stored in a computer's memory
address,noun,a formal speech
address,verb,to speak or write to someone
address,verb,to give attention to or deal with a matter or problem
address,verb,to write a name or address on an envelope or parcel
address,verb,to stand in position before hitting a golf ball or shooting at a target
address,noun,"the specific place where a person, business, or organization can be found and where mail can be received"
address,noun,In address is also a group of letters or numbers and an @ symbol used to send electronic mail to someone
address,noun,a formal speech
address,verb,"to speak or write to someone, or to direct information to someone"
address,verb,to give attention to or to deal with a matter or problem
address,verb,"to write or print the specific place where a person, business, or organization can be found on something to be sent there"
address,noun,"a building number, name of the road, etc. where you live, where an organization has an office, or where mail is sent"
address,noun,"the words and symbols that you type in order to send an email to a particular person. It usually consists of a person's name, an @ sign, the name of a company or school, and sometimes an abbreviations for a country"
address,noun,the words and symbols that you type to look at a particular webster
address,noun,→  memory address
address,noun,a formal speech
address,verb,to write an address on an envelope or package so it can be sent to the person who has that address
address,verb,"to speak to a group of people, especially in a meeting or formal event"
address,verb,to speak to someone in a particular way or using a particular name
address,verb,to deal with a particular problem or need
administration,noun,the arrangements and tasks needed to control the operation of a plan or organization
administration,noun,the people in an organization who manage its business and operations
administration,noun,"a period of government, or the people who are in government"
administration,noun,the act of giving someone something
administration,noun,the process that takes place when a company cannot pay its debts and is allowed to make changes to its organization to try to avoid going into liquidation
administration,noun,the management or control of an organization
administration,noun,In administration in the of is the period when a President is in office
administration,noun,In administration is also all of the officials working in a government's executivebranch 
administration,noun,the activity of managing or dealing with a business activity
administration,noun,→  admit
administration,noun,the people who manage and control a large organization
administration,noun,the government of the United States or of some other countries
administration,noun,a situation in which an independent administrator takes control of a company that cannot pay its debts in order to try to improve the company's financial situation and keep it operating
admire,verb,to find someone or something attractive and pleasant to look at
admire,verb,to respect and approve of someone or their behaviour
admire,verb,to respect and approve of someone or something
admit,verb,"to agree that something is true, especially unwillingly"
admit,verb,to accept that you have failed and give up
admit,verb,to allow someone to enter a place
admit,verb,to allow a person or country to join an organization
admit,verb,to allow someone to enter a hospital because they need medical care
admit,verb,to recognize or accept something as true
admit,verb,to allow someone or something to enter
admit,verb,to say that you have done something dishonest or have not succeeded in doing something
admit,verb,to admit that you are legally responsible for something that has harmed someone
admit,verb,"to officially give permission for a person, company, or country to join a large organization"
admit,verb,to officially give permission for someone to attend a meeting or other event
admit,verb,"if a court of law admits evidence or admits something as evidence, it allows something to be used to decide whether someone is guilty of a crime"
adopt,verb,to legally take another person's child into your own family and take care of him or her as your own child
adopt,verb,"to take an animal that has been left in a place such as a rescue centre, and keep it as your pet"
adopt,verb,to accept or start to use something new
adopt,verb,to choose someone or something or take something as your own
adopt,verb,"to start behaving in a particular way, especially by choice"
adopt,verb,"to pay money in order to have your name connected with a particular thing, especially in order to help an organization raise money"
adopt,verb,to agree to be responsible for a road being maintained
adopt,verb,to take another person’s child legally into your own family to raise as your own child
adopt,verb,to accept or begin to use something
adopt,verb,"Of an organization adopt a rule, it votes to accept it"
adopt,verb,"to start to use a new method, system, law, etc."
adopt,verb,to start to use a new product or service
adult,noun,a person or animal that has grown to full size and strength
adult,adjective,grown to full size and strength
adult,adjective,typical of or suitable for adults
adult,adjective,"Adult films, magazines, and books show naked people and sexual acts and are not for children"
adult,adjective,grown to full size and strength
adult,adjective,Adult also means suitable for grown people and not children
adult,adjective,"Adult moves, magazines, shows, and books include content that is intended for adults only"
advance,verb,"to go or move something forward, or to develop or improve something"
advance,verb,to pay someone some money before the regular time
advance,verb,to suggest an idea or theory
advance,verb,"Of something such as a share price advances, it increases in value"
advance,noun,"the forward movement of something, or an improvement or development in something"
advance,noun,money paid to someone before the regular time
advance,noun,an attempt to start a sexual or romantic relationship with someone
advance,noun,something such as a share price that increases in value
advance,adjective,"happening, done, or ready before an event"
advance,verb,"to go or move something forward, or to develop or improve something"
advance,adjective,happening before an event
advance,noun,money paid before something happens
advance,noun,an act of moving something forward or improving something
advance,noun,an improvement relating to a particular activity or area of knowledge
advance,noun,money that is paid to a person or organization before the usual time or before a piece of work is finished
advance,noun,an increase in the price or value of something such as a share or a currency
advance,noun,before something else happens or is done
advance,verb,"to develop and become successful, or to make something do this"
advance,verb,to increase in value
advance,verb,"to increase in number, amount, or value"
advance,verb,to suggest a new idea or plan to a group of people
advance,verb,to give someone money before the usual time or before a piece of work is finished
advance,verb,to change the date or time of an event to an earlier one
advance,adjective,done or made before something else happens
advanced,adjective,modern and well developed
advanced,adjective,"at a higher, more difficult level"
advanced,adjective,having reached a late stage of development in a process
advanced,adjective,"In advanced illness or disease is one that has reached a late, and usually serious, stage of development"
advanced,adjective,"a school or college class that is doing work at a higher, more difficult level than others"
advanced,adjective,Someone who is of an advanced age or of advanced years is old
advanced,adjective,the age of someone who is considered older than other people in the same group or doing the same thing
advanced,adjective,highly developed or difficult
advanced,adjective,"using the most modern methods, technology, etc."
advanced,adjective,almost finished after a long period of work or discussion
advanced,adjective,advanced courses of study or qualifications are intended for people who are already skilled or who have a good knowledge of a subject
advantage,noun,a condition giving a greater chance of success
advantage,noun,to use the good things in a situation
advantage,noun,to treat someone badly in order to get something good from them
advantage,noun,the word used in tennis when a player has won the point after deuce
advantage,noun,"In games such as football, if a referee plays advantage, they do not stop the game when there is a foul because allowing play to continue gives an advantage to the team that has been fooled"
advantage,verb,to make someone or something more likely to be successful by creating a situation that helps them
advantage,noun,a condition that helps you or gives you a greater chance of success
advantage,noun,a good feature that makes something better than similar things
advantage,noun,in a more powerful or successful position than other people or things
advantage,noun,"to use your skill, resources, etc. or a particular situation in order to get an opportunity for yourself"
advantage,noun,to give a person or organization an advantage compared to other people or organizations
advantage,noun,"to use your skill, resources, etc. to get an opportunity for yourself"
adventure,noun,"an unusual, exciting, and possibly dangerous activity, such as a trip or experience, or the excitement produced by such an activity"
adventure,noun,"an unusual, exciting, and possibly dangerous activity, trip, or experience, or the excitement produced by such activities"
advertise,verb,"to make something known generally or in public, especially in order to sell it"
advertise,verb,to make something generally known
advertise,verb,"to make something known generally or in public, esp. in order to sell it"
advertise,verb,"to make a product or service known about in order to sell it, for example using the internet, magazines, television, or billboards"
advertise,verb,"to make it known that a job or work is available, by putting an advertisement in a newspaper or on the internet"
advertisement,noun,"a picture, short film, song, etc. that tries to persuade people to buy a product or service"
advertisement,noun,"a piece of text that tells people about a job, event, etc"
advertisement,noun,"Of someone or something is an advertisement for something, they show its good effects"
advertisement,noun,a paid notice that tells people about a product or service
advertisement,noun,"a picture, sign, etc. that is used to make a product or service known and persuade people to buy it"
advertisement,noun,"a short piece of writing, for example in a newspaper or on the internet, that advertised a job with a particular company or organization"
advertising,noun,the business of trying to persuade people to buy products or services
advertising,noun,"a business that makes things known generally or in public, esp. in order to sell them"
advertising,noun,the activity of making products or services known about and persuading people to buy them
advertising,noun,the industry involved with making products or services known about and persuading people to buy them
advertising,noun,"pictures, signs, pieces of film, etc. that are used to advertise products or services"
advice,noun,an opinion that someone offers you about what you should do or how you should act in a particular situation
advice,noun,an opinion that someone offers you about what you should do or how you should act in a particular situation
advice,noun,an opinion that someone gives you about what you should do or how you should behave in a particular situation
advice,noun,a formal document telling you about a legal or financial arrangement you have been involved in
advise,verb,to give someone advice
advise,verb,to give someone official information about something
advise,verb,"Of you tell someone that they would be advised or well advised to do something, you warn them that they should do it"
advise,verb,"to give advice to someone, or to suggest something"
advise,verb,"to give someone useful information, or to tell them what you think they should do"
advise,verb,to give someone information about something
affair,noun,a situation or subject that is being dealt with or considered
affair,noun,"a matter or situation that causes strong public feeling, usually of moral disapproval"
affair,noun,"a sexual relationship, especially a secret one"
affair,noun,an event
affair,noun,an object of the type stated
affair,noun,a situation or subject that is being dealt with or considered; a matter
affair,noun,"a sexual relationship, esp. a secret one"
affair,noun,an event
affect,verb,"to have an influence on someone or something, or to cause a change in someone or something"
affect,verb,to pretend to feel or think something
affect,verb,to start to wear or do something in order to make people admire or respect you
affect,noun,"a particular type of emotion or mood, or a reaction, such as the expressions on someone's face, that shows they are feeling this"
affect,verb,to have an influence on someone or something
affect,verb,to pretend to be or have something
afford,verb,to be able to buy or do something because you have enough money or time
afford,verb,to allow someone to have something pleasant or necessary
afford,verb,"to have enough money or time to buy, keep, or do something"
afford,verb,to be able to buy or do something because you have enough money
afford,verb,to be able to do something without it causing problems
afraid,adjective,"feeling fear, or feeling worry about the possible results of a particular situation"
afraid,adjective,used to politely introduce bad news or disagreement
afraid,adjective,"used to politely say ""no"""
afraid,adjective,"used to say ""yes"" or agree with something though you are sad or upset over that thing "
afraid,adjective,"feeling fear, or feeling anxiety about the possible results of a particular situation"
afraid,adjective,"feeling regret, esp. because something is not the way you think it should be"
after,preposition,"following in time, place, or order"
after,preposition,considering all the things that
after,preposition,because of what
after,preposition,to be looking for someone or something or trying to find or get them or it
after,preposition,used to say politely that someone can go ahead of you or do something before you
after,preposition,typical of or similar to the style of
after,preposition,used when giving someone or something the same name as another person or thing
after,adverb,later than someone or something else
after,conjunction,at a time that is later than another event
after,preposition,"following in time, place, or order"
after,preposition,as a result of; because
after,preposition,despite
after,preposition,wanting to find or have
afternoon,noun,the period that starts at about twelve o'clock or after the meal in the middle of the day and ends at about six o'clock or when the sun goes down
afternoon,exclamation,a friendly way of greeting someone when you meet them in the afternoon
afternoon,noun,the period that starts at about twelve o’clock or after the meal in the middle of the day and ends at about six o’clock or when the sun goes down
afterwards,adverb,after the time mentioned
again,adverb,one more time
again,adverb,back to the original place or condition
again,adverb,"Of something happens once again, it has already happened several times before"
again,adverb,said after an unpleasant experience to show that you do not intend to do it again
again,adverb,"Of something happens yet again, it has already happened many times before"
again,adverb,repeatedly
again,adverb,"Of you do something all over again, you start again from the beginning"
again,adverb,in addition to the amount we know about or have mentioned already
again,adverb,"once more, or as before"
against,preposition,disagreeing with a plan or activity
against,preposition,"Of you have something against someone, you dislike them for a reason"
against,preposition,"Of something counts/goes/works against you, it gives you a disadvantage"
against,preposition,next to and touching or being supported by (something)
against,preposition,in front of or compared to
against,preposition,in the opposite direction to
against,preposition,as a protection or defence from the bad effects of
against,preposition,in opposition to; opposed to
against,preposition,Against also means in competition with
against,preposition,To go against something means to go in the opposite direction to it
against,preposition,directed at or toward
against,preposition,next to and touching or being supported by something
age,noun,the period of time someone has been alive or something has existed
age,noun,said to someone to tell them to stop behaving like someone who is much younger
age,noun,the age at which someone is considered by the law to be old enough to agree to have sex with someone
age,noun,a particular period in time
age,noun,a very long time
age,noun,the fact of being or getting older
age,verb,"Of someone ages or something ages them, they look older"
age,verb,to develop in flavour or leave something to do this
age,noun,the length of time someone has been alive or something has existed
age,noun,a particular period in time
age,verb,"to become or appear old, or to cause someone to appear old"
age,verb,To age food or drink is to give it time to become ripe or develop a full flavor
aged,adjective,of the age of
aged,adjective,old
aged,noun,old people when considered as a group
aged,adjective,old
aged,plural noun,old people
agency,noun,a business that represents one group of people when dealing with another group
agency,noun,a government organization
agency,noun,the ability to take action or to choose what action to take
agency,noun,because of the actions of someone
agency,noun,"a business acting for or representing a person, an organization, or another business"
agency,noun,In agency is also a government organization
agency,noun,a business that provides a service to other people or organizations
agency,noun,a government department that is responsible for a particular activity
agenda,noun,a list of matters to be discussed at a meeting
agenda,noun,a list of aims or possible future achievements
agenda,noun,a secret aim or reason for doing something
agenda,noun,a list of matters to be discussed at a meeting
agenda,noun,In agenda can also refer to any matters that have to be dealt with
agenda,noun,"esp. disapproving In agenda is also a particular program of action, often one that is not directly expressed"
agenda,noun,"the things that a person or organization considers to be important and wants to solve or achieve, or their reasons for wanting to do something"
