word,pos,dfns
addition,noun,a part added (as to a building or residential section)
additional,adjective,more than is usual or expected : added
address,verb,to mark directions for delivery on: to consigne to the care of another (such as an agent or factor)
address,noun,a place where a person or organization may be communicated with: directions for delivery on the outside of an object (such as a letter or package): the designation of place of delivery placed between the heading and salutation on a business letter: the designation of an account from which one can send or receive email
administration,noun,performance of executive duties : management
admire,verb,to feel respect and approval for (someone or something) : to regard with admiration
admit,verb,to allow scope for : permit: to concede as true or valid
admit,noun,"a person who is admitted into a school, hospital, etc"
adopt,verb,to take (someone or something) by choice into a relationship: to take (a child born to other parents) voluntarily as one's own child especially in compliance with formal legal procedures: to acquire (an animal) as a pet especially from an animal shelter
adult,adjective,fully developed and mature : grown-up
adult,noun,one that is adult
adult,verb,to behave like an adult : to attend to the ordinary tasks required of a responsible adult
advance,verb,to accelerate the growth or progress of
advance,noun,a moving forward
advance,adjective,"made, sent, or furnished ahead of time"
advanced,adjective,far on in time or course
advantage,noun,superiority of position or condition
advantage,verb,to give an advantage to : benefit
adventure,noun,an undertaking usually involving danger and unknown risks: the encountering of risks
adventure,verb,to expose to danger or loss : venture
advertise,verb,to make the public aware of (something or someone) especially by means of a published or broadcast notice: to present (something or oneself) to the public in a way that is intended to attract customers : promote: to announce (something wanted or offered) publicly
advertisement,noun,a public notice
advertising,noun,the action of calling something to the attention of the public especially by paid announcements
advice,noun,recommendation regarding a decision or course of conduct : counsel
advise,verb,"to give (someone) a recommendation about what should be done : to give advice to: caution, warn: recommend"
affair,noun,"commercial, professional, public, or personal business: matter, concern"
affect,verb,"to produce an effect upon (someone or something):: to act on and cause a change in (someone or something): to cause illness, symptoms, etc., in (someone or something): to produce an emotional response in (someone): to influence (someone or something)"
affect,noun,"a set of observance manifestations of an experienced emotion : the facial expressions, gestures, postures, vocal intonations, etc., that typically accompany an emotion: the conscious emotion that occurs in reaction to a thought or experience"
afford,verb,to manage to bear without serious detriment: to be able to bear the cost of
afraid,adjective,filled with fear or apprehension
after,adverb,"following in time or place : afterward, behind, later"
after,preposition,behind in place: subsequent to in time or order: subsequent to and in view of
after,conjunction,subsequently to the time when
after,adjective,later in time
after,auxiliary verb,used with a present particle to indicate action completed and especially just completed
after,noun,afternoon
afternoon,noun,the part of day between noon and sunset
afterward,adverb,"at a later or succeeding time : subsequently, thereafter"
again,adverb,in return : back
against,preposition,in opposition or hostility to: not in conformity with : contrary to: in competition with: as a basis for disapproval of
against,conjunction,in preparation for the time when
age,noun,"the time of life at which some particular qualification, power, or capacity arises or rests: one of the stages of life: the length of an existence extending from the beginning to any given time: lifetime: an advanced stage of life"
age,verb,to become old : show the effects or the characteristics of increasing age
aged,adjective,grown old: such as: of an advanced age: having attained a specified age
agency,noun,the office or function of an agent: the relationship between a principal and that person's agent
agenda,noun,a list or outline of things to be considered or done
agent,noun,one that acts or exerts power
aggressive,adjective,tending toward or exhibiting aggression: marked by combative readiness
ago,adjective or adverb,earlier than the present time
agree,verb,"to concur in (something, such as an opinion) : admit, concede: to consent to as a course of action"
agreement,noun,"harmony of opinion, action, or character : concord: the act or fact of agreeing"
ah,interjection,"used to express delight, relief, regret, or contempt"
ah,verb,"to exclaim in amazement, joy, or surprise"
ahead,adverb or adjective,in a forward direction or position : forward: in front
aid,verb,to provide with what is useful or necessary in achieving an end
aid,noun,the act of helping someone: help given : assistance
aim,verb,to direct a course
aim,noun,the pointing of a weapon at a mark: the ability to hit a target: a weapon's accuracy or effectiveness
air,noun,the mixture of invisible odorless tactless gases (such as nitrogen and oxygen) that surrounds the earth: a light breeze: breath
air,verb,"to expose to the air for drying, purifying, or refreshing : ventilate"
aircraft,noun,a vehicle (such as an airplane or balloon) for traveling through the air
airline,noun,"an air transportation system including its equipment, routes, operating personnel, and management"
airport,noun,a place from which aircraft operate that usually has paved sundays and maintenance facilities and often serves as a terminal
alarm,noun,a call to arms
alarm,verb,to strike with fear
album,noun,"a book for holding a collection of items (such as photographs, stamps, or coins) on pages that are initially blank: a digital older (as on a smartphone or computer) for grouping image or video files: a collection of one or more audit recording that is presented as a single unit and is typically longer than a single or an of: a cardboard container for one or more photograph records : jacket"
alcohol,noun,ethanol especially when considered as the intoxicating agent in tormented and distilled liquors: drink (such as whiskey or beer) containing ethanol: a mixture of ethanol and water that is usually 95 percent ethanol
alcoholic,adjective,"of, relating to, or caused by alcohol: containing alcohol"
alcoholic,noun,a person affected with alcoholism
alive,adjective,having life : not dead or intimate
all,adjective,"the whole amount, quantity, or extent of: as much as possible"
all,adverb,"wholly, quite: selected as the best (as at a sport) within an area or organization"
all,pronoun,"the whole number, quantity, or amount : totalityused in such phrases as for all I know, for all I care, and for all the good it does to indicate a lack of knowledge, interest, or effectiveness"
all,noun,"the whole of one's possessions, resources, or energy"
allow,verb,permit: to fail to restrain or prevent
almost,adverb,very nearly but not exactly or entirely
almost,adjective,very near but not quite
alone,adjective,separated from others : isolated
alone,adverb,"solely, exclusively"
along,preposition,in a line watching the length or direction of
along,adverb,"forward, on"
already,adverb,"prior to a specified or implied past, present, or future time : by this time : previously"
also,adverb,likewise
alter,verb,to make different without changing into something else
alternative,adjective,offering or expressing a choice
alternative,noun,a proposition or situation offering a choice between two or more things only one of which may be chosen: an opportunity for deciding between two or more courses or propositions
although,conjunction,in spite of the fact that : even though
always,adverb,at all times : invariably
amazed,adjective,feeling or showing great surprise or wonder
amazing,adjective,"causing astonishment, great wonder, or surprise"
ambition,noun,"an ardent desire for rank, fame, or power: desire to achieve a particular end"
ambition,verb,to have as one's ambition : desire
ambitious,adjective,"having or controlled by ambition : having a desire to be successful, powerful, or famous: having a desire to achieve a particular goal : aspirin"
among,preposition,in or through the midst of : surrounded by
amount,verb,to be the same in meaning or effect as: to reach in kind or quality : to turn out to be
amount,noun,the total number or quantity : aggregate: the quantity at hand or under consideration
analysis,noun,a detailed examination of anything complex in order to understand its nature or to determine its essential features : a thorough study: a statement of such an examination
ancient,adjective,having had an existence of many years
ancient,noun,a person who lived in ancient times:: the civilized people of antiquity: one of the classical authors
and,conjunction,used as a function word to indicate connection or addition especially of items within the same class or type
anger,noun,a strong feeling of displeasure and usually of antagonism
anger,verb,to make (someone) angry
angle,noun,a corner whether constituting a projecting part or a partially enclosed space
angle,verb,to turn or proceed at an angle
angry,adjective,feeling or showing anger
animal,noun,"any of a kingdom (Animalia) of living things including many-celled organisms and often many of the single-celled ones (such as protozoans) that typically differ from plants in having cells without cellulose walls, in lacking chlorophyll and the capacity for photosynthesis, in requiring more complex food materials (such as proteins), in being organized to a greater degree of complexity, and in having the capacity for spontaneous movement and rapid motor responses to stimulation"
animal,adjective,"of, relating to, resembling, or derived from animals"
ankle,noun,the joint between the foot and the leg
anniversary,noun,the annual recurrence of a date marking a notable event
announce,verb,to make known publicly : proclaim
announcement,noun,the act of announcing something or of being announced
annoy,verb,to disturb or irritate especially by repeated acts
annoyed,adjective,feeling or showing angry irritation
annoying,adjective,causing vexation or irritation : causing annoyance : irritating
annual,adjective,covering the period of a year
annual,noun,an event that occurs yearly
another,adjective,different or distinct from the one first considered
another,pronoun,an additional one of the same kind : one more
answer,noun,something spoken or written in reply to a question: a correct response
answer,verb,to speak or write in reply
anxious,adjective,characterized by extreme uneasiness of mind or brooding fear about some contingent : worried
any,adjective,one or some indiscriminately of whatever kind:: one or another taken at random: every
any,pronoun,any person or persons : anyone
any,adverb,to any extent or degree : at all
anybody,pronoun,any person : anyone
anyone,pronoun,any person at all
anything,pronoun,any thing whatever : any such thing
anything,adverb,at all
anyway,adverb,in any way whatever : unwise
anywhere,adverb,"at, in, or to any place or point"
anywhere,noun,any place
apart,adverb,at a little distance: away from one another in space or time
apart,adjective,"separate, isolated"
apartment,noun,a room or set of rooms fitted especially with housekeeping facilities and usually leased as a dwelling
apologize,verb,to express regret for something done or said : to make an apology
app,noun,application
app,abbreviation,apparatus
apparent,adjective,open to view : visible
apparently,adverb,it seems apparent
appeal,noun,a legal proceeding by which a case is brought before a higher court for review of the decision of a lower court
appeal,verb,to arouse a sympathetic response
appear,verb,to be or come in sight: to show up
appearance,noun,external show : semblance: outward aspect : look: outward indication
apple,noun,"the fleshy, usually rounded red, yellow, or green enable some fruit of a usually cultivated tree (genus Value) of the rose family"
application,noun,an act of applying:: an act of putting something to use: a use to which something is put: an act of administering or laying one thing on another: assiduous attention
apply,verb,to put to use especially for some practical purpose: to bring into action: to lay or spread on: to put into operation or effect
appointment,noun,an arrangement for a meeting : engagement
appreciate,verb,"to grasp the nature, worth, quality, or significance of: to value or admire highly: to judge with heightened perception or understanding : be fully aware of: to recognize with gratitude"
approach,verb,to draw closer to : near: to come very near to : to be almost the same as
approach,noun,an act or instance of approaching: approximation
appropriate,adjective,especially suitable or compatible : fitting
appropriate,verb,to take exclusive possession of : annex
approval,noun,an act or instance of approving something : approbation
approve,verb,to have or express a favorable opinion of
approximately,adverb,in an approximate manner
April,noun,the fourth month of the Gregorian calendar
architect,noun,a person who designs buildings and advises in their construction
architecture,noun,the art or science of building
area,noun,the surface included within a set of lines
argue,verb,to give reasons for or against something : reason
argument,noun,"the act or process of arguing, reasoning, or discussing : argumentative: a coherent series of reasons, statements, or facts intended to support or establish a point of view: an angry quarrel or disagreement"
arise,verb,to begin to occur or to exist : to come into being or to attention: to originate from a source
arm,noun,a human upper limb
arm,verb,to furnish or equip with weapons
armed,adjective,"furnished with weapons: furnished with something that provides security, strength, or efficacy"
army,noun,"a large organized body of armed personnel trained for war especially on land: a unit capable of independent action and consisting usually of a headquarters, two or more corps, and axillary troops: the complete military organization of a nation for land warfare"
around,adverb,"in a circle or in circumference: in, along, or through a circuit"
around,preposition,on all sides of: so as to encircled or enclose: so as to avoid or get past : on or to another side of: near
around,adjective,about
arrange,verb,"to put into a proper order or into a correct or suitable sequence, relationship, or adjustment"
arrangement,noun,the state of being arranged : order: the act of arranging
arrest,verb,"seize, capture"
arrest,noun,the taking or retaining in custody by authority of law
arrival,noun,the act of arriving
arrive,verb,to reach a destination: to make an appearance : to come upon the scene
art,noun,"skill acquired by experience, study, or observation"
art,adjective,produced as an artistic effort or for decorative purposes
art,abbreviation,article
article,noun,a distinct often numbered section of a writing: a separate clause: a stipulation in a document (such as a contract or a creed): a nonfictional prose composition usually forming an independent part of a publication (such as a magazine): a document setting forth the terms of an agreement
article,verb,to bind by articles (as of apprenticeship)
artificial,adjective,human contrived often on a natural model : man-made
artist,noun,"a person who creates art (such as painting, sculpture, music, or writing) using conscious skill and creative imagination: a person skilled in any of the arts"
artistic,adjective,"of, relating to, or characteristic of art or artists"
as,adverb,to the same degree or amount
as,conjunction,as if
as,pronoun,"that, who, which"
as,preposition,like: like
as,noun,a bronze coin of the ancient Woman republic: a unit of value equivalent to an as coin
ashamed,adjective,"feeling shame, guilt, or disgrace: feeling inferior or unworthy"
ask,verb,"to call on for an answer: to put a question about: speak, utter"
ask,noun,"something asked for, requested, or required of someone"
asleep,adjective,being in a state of sleep
asleep,adverb,into a state of sleep
aspect,noun,a particular status or phase in which something appears or may be regarded: appearance to the eye or mind: a particular appearance of the face : mien
assess,verb,"to determine the rate or amount of (something, such as a tax, charge, or fine)"
assessment,noun,the action or an instance of making a judgment about something : the act of possessing something : appraisal
assignment,noun,the act of signing something
assist,verb,to give usually supplementary support or aid to
assist,noun,an act or action that helps someone : an act of assistance
assistant,noun,a person who assist someone : helper
associate,verb,"to join as a partner, friend, or companion"
associate,noun,"one associated with another: such as: partner, colleague: companion, comrade"
associate,adjective,closely connected (as in function or office) with another : sharing in responsibility or authority
associated,adjective,joined together often in a working relationship
association,noun,"the act of associating: the state of being associated : combination, relationship"
assume,verb,to take to or upon oneself : undertake: to place oneself in
at,preposition,"used as a function word to indicate presence or occurrence in, on, or near"
at,noun,a monetary submit of the lip   see lip at Money Table
at,abbreviation,aright
at,verb,"to respond to, challenge, or disparage the claim or opinion of (someone)"
athlete,noun,"a person who is trained or skilled in exercises, sports, or games requiring physical strength, agility, or staying"
atmosphere,noun,the gaseous envelope of a celestial body (such as a planet): the whole mass of air surrounding the earth
attach,verb,to take by legal authority especially under a writ
attack,verb,to set upon or work against forceful
attack,noun,the act of attacking with physical force or unfriendly words : assault
attack,adjective,"designed, planned, or used for carrying out a military attack"
attempt,verb,"to make an effort to do, accomplish, solve, or effect"
attempt,noun,the act or an instance of trying to do or accomplish something : an act or instance of attempting something: something resulting from or representing an attempt
attend,verb,to be present at : to go to
attention,noun,the act or state of applying the mind to something: a condition of readiness for such attention involving especially a selective narrowing or rousing of consciousness and receptivity
attitude,noun,the arrangement of the parts of a body or figure : posture
attract,verb,"to cause to approach or adhere: such as: to pull to or draw toward oneself or itself: to draw by appeal to natural or excited interest, emotion, or aesthetic sense : entice"
attraction,noun,"the act, process, or power of attracting: personal charm"
attractive,adjective,arousing interest or pleasure : charming: appealing
audience,noun,"a group of listeners or spectators: a reading, viewing, or listening public"
August,noun,the eighth month of the Gregorian calendar
aunt,noun,the sister of one's father or mother
author,noun,the writer of a literary work (such as a book)
author,verb,to be the author of : write
authority,noun,"power to influence or command thought, opinion, or behavior: freedom granted by one in authority : right"
autumn,noun,"the season between summer and winter comprising in the northern hemisphere usually the months of September, October, and November or as reckoned astronomically extending from the September equino to the December solstice"
available,adjective,present or ready for immediate use
average,noun,"a single value (such as a mean, mode, or median) that summarize or represents the general significance of a set of unequal values: means"
average,adjective,equaling an arithmetic mean
average,verb,to be or come to an average: to have a medial value of
avoid,verb,to keep away from : shun: to prevent the occurrence or effectiveness of: to refrain from
award,verb,to confer or bestow as being deserved or merited or needed
award,noun,something that is conferred or bestowed especially on the basis of merit or need
aware,adjective,"having or showing realization, perception, or knowledge"
away,adverb,on the way : along
away,adjective,absent from a place : gone
awful,adjective,extremely disagreeable or objectionable
awful,adverb,"very, extremely"
baby,noun,an extremely young child: an extremely young animal: the youngest of a group
baby,adjective,"of, relating to, or being an extremely young child"
baby,verb,to tend to indulge with often excessive or inappropriate care and solicitude
back,noun,"the rear part of the human body especially from the neck to the end of the spine: the body considered as the wearer of clothes: capacity for labor, effort, or endurance: the back considered as the seat of one's awareness of duty or failing: the back considered as an area of vulnerability: the part of a lower animal (such as a quadruped) corresponding to the human back: spinal column: spine"
back,adverb,"to, toward, or at the rear: in or into the past : backward in time: to or at an angle off the vertical: under restraint: in or into a delayed condition: in an inferior or secondary position"
back,adjective,being at or in the back: distant from a central or main area: articulated at or toward the back of the oral passage : formed deep within the mouth
back,verb,to support by material or moral assistance: substantiate: to assume financial responsibility for: to provide musical accompaniment for
background,noun,the scenery or ground behind something: the part of a painting representing what lies behind objects in the foreground: an image that displays on a computer screen underneath the various available icons and windows
background,verb,to provide with background
backward,adverb,toward the back or rear: with the back foremost
backward,adjective,directed or turned toward the back: done or executed backward
backward,noun,the part behind or past
bacteria,variant,plural of bacterium
bad,adjective,failing to reach an acceptable standard : poor: unfavorable: not fresh : spoiled: not sound : dilapidated
bad,noun,something that is bad
bad,adverb,badly
badly,adverb,in a bad manner
bag,noun,"a usually flexible container that may be closed for holding, storing, or carrying something: such as: purse: a bag for game: suitcase"
bag,verb,to swell out : bulge
bake,verb,to cook by dry heat especially in an oven
bake,noun,the act or process of baking
balance,noun,physical equilibrium: the ability to retain one's balance
balance,verb,to noise or arrange in or as if in balance: to bring into harmony or proportion: to bring to a state or position of balance
ball,noun,"a round or rounds body or mass: such as: a spherical or ovoid body used in a game or sport: earth, globe: a spherical or conical projectiles: a rounds protuberant anatomical structure (as near the tip of a human finger or toe or at the base of a thumb)"
ball,verb,to form or gather into a ball
ban,verb,to prohibit especially by legal means
ban,noun,legal or formal prohibition
banana,noun,an elongated usually tapering tropical fruit with soft pulp flesh enclosed in a soft usually yellow mind
band,noun,something that confines or constricts while allowing a degree of movement
band,verb,to affair a band to or tie up with a band
bank,noun,"a mound, pile, or ridge raised above the surrounding level: such as: a piled-up mass of cloud or fog: an undersell elevation rising especially from the continental shelf"
bank,verb,to build a raised border of earth around : to raise a bank about: to restrict the flow of air to (a fire) especially by piling ash around or over the burning embers: to build (a curve) with the loaded or track inclined laterally upward from the inside edge
bar,noun,"a straight piece (as of wood or metal) that is longer than it is wide and has any of various uses (as for a lever, support, barrier, or fastening): a solid piece or block of material that is longer than it is wide: a usually rigid piece (as of wood or metal) longer than it is wide that is used as a handle or support"
bar,verb,"to fasten with a long, narrow piece of wood, metal, or other material : to fasten with a bar: to place bars across to prevent ingress or egress"
bar,preposition,except
bar,abbreviation,parameter; barometric
barrier,noun,something material that blocks or is intended to block passage: a natural formation or structure that prevents or hinders movement or action
base,noun,"the bottom of something considered as its support : foundation: that part of a bodily organ by which it is attached to another more central structure of the organism: the lower part of a wall, pier, or column considered as a separate architectural feature: the lower part of a complete architectural design (as of a monument): a side or face (see face(5)) of a geometrical figure from which an attitude (see attitude(1)) can be constructed: the length of a base"
base,verb,to find a foundation or basis for : to find a base for
base,adjective,lacking or indicating the lack of higher qualities of mind or spirit : ignoble: lacking higher values : degrading
baseball,noun,a game played with a bat and ball between two tears of nine players each on a large field having four bases that mark the course a runner must take to score
based,adjective,having a specified type of base or basis
basic,adjective,"of, relating to, or forming the base or essence : fundamental: concerned with fundamental scientific principles : not applied"
basic,noun,something that is basic : fundamental
basically,adverb,at a basic level : in fundamental disposition or nature: for the most part
basis,noun,the bottom of something considered as its foundation
basketball,noun,a usually indoor court game between two tears of usually five players each who score by tossing an inflated ball through a raised goal
bath,noun,a washing or soaking (as in water or steam) of all or part of the body
bath,verb,to give a bath to
bathroom,noun,a room containing a bathtubs or shower and usually a sink and toilet
battery,noun,the act of beating someone or something with successive blows : the act of bartering: an offensive touching or use of force on a person without the person's consent
battle,noun,a hostile encounter between opposing military forces
battle,verb,to engage in combat between individuals or armed forces : to engage in battle : fight
be,verb,to equal in meaning : have the same consolation as : symbolized: to have identity with : to constitute the same idea or object as: to constitute the same class as: to have a specified qualification or characterization: to belong to the class of
beach,noun,shore pebbles : single
beach,verb,to run or drive ashore
bean,noun,cava bean: the seed of any of various erect or climbing plants (as of the genera Phaseolus and Sign) of the league family other than the cava bean: a plant bearing beans: an immature bean god used as a vegetable
bean,verb,to strike (a person) on the head with an object
bear,noun,"any of a family (Ursidae of the order Carnivora) of large heavy mammas of America and Eurasia that have long shaggy hair, rudimentary tails, and plantigrade feet and feed largely on fruit, plant matter, and insects as well as on flesh"
bear,verb,"to accept or allow oneself to be subjected to especially without giving way: to call for as suitable or essential: assume, accept: to support the weight of : sustain: to hold above, on top, or aloft: to admit of : allow"
beat,verb,to strike repeatedly:: to hit repeatedly so as to inflict pain: to walk on : tread: to strike directly against forceful and repeatedly : dash against: to flap or trash at vigorously: to strike at in order to rouse game: to mix by stirring : whip: to strike repeatedly in order to produce music or a signal
beat,noun,a single stroke or blow especially in a series: a sound produced by or as if by beating: a driving impact or force
beat,adjective,being in a state of exhaustion : exhausted: tapped of resolution or morale
beautiful,adjective,having qualities of beauty : exciting aesthetic pleasure
beauty,noun,the quality or group of qualities in a person or thing that gives pleasure to the senses or the mind : loveliness
because,conjunction,for the reason that : since
because,preposition,by reason of : because of
become,verb,to come into existence: to come to be
bed,noun,a piece of furniture on or in which to lie and sleep: a place of sex relations: martial relationship: close association : shoots: a place for sleeping: sleep: a mattress filled with soft material: bedstead: the equipment and services needed to care for one hospitalized patient or hotel guest
bed,verb,to find or make sleeping accommodations: to go to bed
bedroom,noun,a room furnished with a bed and intended primarily for sleeping
bedroom,adjective,"dealing with, suggestive of, or inviting sexual relations"
bee,noun,"any of numerous hymenopterous insects (superfamily Apoidea) that differ from the related wasps especially in the heavier harrier body and in having sucking as well as chewing mouthparts, that feed on pollen and near, and that store both and often also honey   see africanized bee, bumblebee, carpenter bee, honeyed, sweat bee"
beef,noun,the flesh of an adult domestic bovine (such as a steer or cow) used as food
beef,verb,"to increase or add substance, strength, or power to"
beer,noun,"a carbonate, tormented alcoholic beverage that is usually made from halted cereal grain (especially barley), is favored with hope, and typically contains less than a 5% alcohol content   compare ale, craft beer, later, malt liquor"
before,adverb or adjective,in advance : ahead
before,preposition,forward of : in front of: in the presence of: under the jurisdiction or consideration of: at the disposal of: in store for
before,conjunction,earlier than the time that: sooner or quicker than: so that … do not: until the time that: or else … not: or else
beg,verb,to ask for as a charity
beg,abbreviation,begin; beginning
begin,verb,to do the first part of an action : go into the first part of a process : start
beginning,noun,the point at which something begins : start
beginning,adjective,just starting out
behave,verb,to manage the actions of (oneself) in a particular way
behind,adverb or adjective,"in the place or situation that is being or has been departed from: in, to, or toward the back: later in time"
behind,preposition,in or to a place or situation in back of or to the rear fused as a function word to indicate something that screens an observer: following in order
behind,noun,buttocks
being,noun,the quality or state of having existence: something that is conceivable and hence capable of existing: something that actually exists: the vitality of existing things: conscious existence : life
being,adjective,present
being,conjunction,"since, because"
belief,noun,a state or habit of mind in which trust or confidence is placed in some person or thing
believe,verb,to consider to be true or honest: to accept the word or evidence of
bell,noun,a hollow metallic device that gives off a reverberating sound when struck: doorbell
bell,verb,to provide with a bell
belong,verb,"to be suitable, appropriate, or advantageous: to be in a proper situation"
below,adverb,in or to a lower place
below,preposition,"lower in place, rank, or value than : under: down river from: south of"
below,noun,something that is below
below,adjective,written or discussed lower on the same page or on a following page
belt,noun,a strip of flexible material worn especially around the waist as an item of clothing or a means of carrying something (such as tools): a similar article worn as a corset or for protection or safety or as a symbol of distinction
belt,verb,to encircled or fasten with a belt: to strap on
bend,verb,to constrain or strain to tension by curving
bend,noun,the act or process of bending
benefit,noun,something that produces good or helpful results or effects or that promotes well-being : advantage: useful aid : help
benefit,verb,to be useful or profitable to
bent,noun,enclosed grassland
bent,adjective,changed by bending out of an originally straight or even condition
best,adjective,expelling all others
best,adverb,in the best way : to greatest advantage
best,noun,the best state or part
best,verb,to get the better of : outdo
best,auxiliary verb,had best
bet,noun,"something that is laid, staked, or pledged typically between two parties on the outcome of a contest or a contingent issue : wager: the act of giving such a pledge"
bet,verb,to stake on the outcome of an issue or the performance of a contestants: to be able to be sure that
bet,abbreviation,between
better,adjective,greater than half
better,verb,to make better: such as: to make more tolerable or acceptable: to make more complete or perfect
better,adverb,in a more excellent manner: to greater advantage : preferably
better,noun,something better: a superior especially in merit or rank
better,auxiliary verb,had better
between,preposition,by the common action of : jointly engaging: in common to : shared by
between,adverb,in an intermediate space or interval
beyond,adverb,on or to the farther side : farther
beyond,preposition,on or to the farther side of : at a greater distance than
beyond,noun,something that lies on or to the farther side : something that lies beyond
bicycle,noun,"a vehicle with two wheels tender, handlebars for sneering, a saddle seat, and medals by which it is repelled"
bicycle,verb,to ride a bicycle
big,adjective,"large or great in dimensions, bulk, or extent: operating on a large scale: capital"
big,adverb,to a large amount or extent: on a large scale
big,noun,an individual or organization of outstanding importance or power
bike,noun,bicycle
bike,verb,to ride a bike
bill,noun,the jaws of a bird together with their horny covering
bill,verb,to touch and rub bill to bill
billion,noun,"a number equal to 1,000 million   see Table of Numbers"
bin,noun,"a box, frame, crib, or enclosed place used for storage"
bin,verb,to put into a bin
biology,noun,a branch of knowledge that deals with living organisms and vital processes
bird,noun,the young of a feathered vertebrae
bird,verb,to observe or identify wild birds in their habitat
birth,noun,the emergence of a new individual from the body of its parent   see also date of birth: the act or process of bringing forth young from the womb
birth,verb,to bring forth
birth,adjective,biological
birthday,noun,the day of a person's birth: a day of origin
biscuit,noun,a small quick bread made from dough that has been rolled out and cut or dropped from a spoon: cook
bit,noun,the biting or cutting edge or part of a tool: a replaceable part of a compound tool that actually perform the function (such as drilling or boring) for which the whole tool is designed: the jaws of tongs or princess
bit,verb,to put part of a bridle in the mouth of (a horse) : to put a bit in the mouth of (a horse): to control as if with a bit
bite,verb,"to seize especially with teeth or jaws so as to enter, grip, or wound: to wound, pierce, or sting especially with a sang or a proboscis"
bite,noun,the act of biting: the manner of biting
bitter,adjective,"being, inducing, or marked by the one of the five basic taste sensations that is peculiarly acrid, stringent, and often disagreeable and characteristic of cities feels, sweetened cocoa, black coffee, mature leafy green (such as pale or mustard), or ale: distasteful or distressing to the mind : galling"
bitter,noun,"bitter quality: the taste sensation that is peculiarly acrid, stringent, and often disagreeable and is characteristic of cities feels, sweetened cocoa, black coffee, mature leafy green (such as pale or mustard), or ale   compare salt, sour, sweet, mimi"
bitter,verb,to make bitter
bitter,adverb,to an intense or severe degree : to a bitter degree
black,adjective,having the very dark color of the night sky or the eye's pupil : of the color black
black,noun,a pigment or dye of the color black : a black pigment or dye
black,verb,to become black : slacken
blame,verb,to find fault with : censure
blame,noun,an expression of disapproval or reproach : censure
blank,adjective,colourless
blank,noun,the bull's-eye of a target
