words,pos,dfns
a.,abbreviation for, are; ares.
a.,abbreviation for, Baseball. assist; assists.
A.,abbreviation for, Absolute.
A.,abbreviation for, Academy.
A.,abbreviation for, acre; acres.
A.,abbreviation for, America.
A.,abbreviation for, American.
A.,abbreviation for, angstrom.
A.,abbreviation for, answer.
A.,abbreviation for, April.
A.,abbreviation for, Artillery.
a,auxiliary verb," a reduced, unstressed form of auxiliary have following some modals, as might, should, could, would, and must (usually written as part of a single, unhyphenated word):"
a-,N/A, variant of ab- before p and v: aperient; avert.
-a,N/A, a suffix designating the oxide of the chemical element denoted by the stem:
a,pronoun, he 1.
a,pronoun, she.
a,pronoun, it 1.
a,pronoun, they.
a,pronoun, I 2.
a-,N/A," variant of ad-, used: (1) before sc, sp, st ( ascend ) and (2) in words of French derivation (often with the sense of increase, addition):"
a,abbreviation for, are; ares.
a-,N/A," variant of an- 1 before a consonant, meaning “not,” “without”:"
Å,N/A, angstrom.
a',adjective, all:
A-,N/A, atomic (used in combination):
abandon,verb (used with object), to leave completely and finally; forsake utterly; desert:
abandon,verb (used with object), to give up; withdraw from; discontinue:
abandon,verb (used with object), to give up the control of:
abandon,verb (used with object)," to yield (oneself) without restraint or moderation; give (oneself) over to natural impulses, usually without self-control:"
abandon,verb (used with object)," Law. to cast away, leave, or desert, as property or a child."
abandon,verb (used with object)," Insurance. to relinquish (insured property) to the underwriter in case of partial loss, thus enabling the insured to claim a total loss."
abandon,verb (used with object), Obsolete. to banish.
abandon,verb (used with object), a complete surrender to natural impulses without restraint or moderation; freedom from inhibition:
ability,noun," power or capacity to do or act physically, mentally, legally, morally, financially, etc."
ability,noun," competence in an activity or occupation because of one's skill, training, or other qualification:"
ability,noun," abilities, talents; special skills or aptitudes:"
-ability,N/A," a combination of -able and -ity, found on nouns corresponding to adjectives ending in -able:"
able,adjective," having necessary power, skill, resources, or qualifications; qualified:"
able,adjective," having unusual or superior intelligence, skill, etc.:"
able,adjective," showing talent, skill, or knowledge:"
able,adjective," legally empowered, qualified, or authorized."
able,adjective, Usually Able. a code word formerly used in communications to represent the letter A.
-able,N/A," a suffix meaning “capable of, susceptible of, fit for, tending to, given to,” associated in meaning with the word able, occurring in loanwords from Latin ( laudable ); used in English as a highly productive suffix to form adjectives by addition to stems of any origin ( teachable; photographable )."
about,preposition, of; concerning; in regard to:
about,preposition, connected or associated with:
about,preposition, near; close to:
about,preposition, in or somewhere near:
about,preposition, on every side of; around:
about,preposition, on or near (one's person):
about,preposition, so as to be of use to:
about,preposition, on the verge or point of (usually followed by an infinitive):
about,preposition," here or there in, on, or over:"
about,preposition, concerned with; engaged in doing:
about,preposition," near in time, number, degree, etc.; approximately:"
about,preposition, nearly; almost:
about,preposition, nearby; not far off:
about,preposition, on every side; in every direction; around:
about,preposition, halfway around; in the opposite direction:
about,preposition, from one place to another; in this place or that:
about,preposition, in rotation or succession; alternately:
about,preposition, in circumference:
about,preposition, Nautical. 
about,preposition, moving around; astir:
about,preposition, in existence; current; prevalent:
above,adverb," in, at, or to a higher place."
above,adverb," overhead, upstairs, or in the sky:"
above,adverb," higher in rank, authority, or power:"
above,adverb, higher in quantity or number:
above,adverb,"  before or earlier, especially in a book or other piece of writing; foregoing: Compare below ( def 6 )."
above,adverb, in or to heaven:
above,adverb, Zoology. on the upper or dorsal side.
above,adverb, Theater.  upstage. Compare below ( def 9 ).
above,adverb, higher than zero on the temperature scale:
above,adverb, in or to a higher place than; over:
above,adverb, more in quantity or number than; in excess of:
above,adverb," superior in rank, authority, or standing to:"
above,adverb," beyond the reach of or exempted from (dishonorable thoughts or deeds), especially in the eyes of others:"
above,adverb, too honorable a character; too good for:
above,adverb, rather than; in preference to:
above,adverb," beyond, especially north of:"
above,adverb, Theater. upstage of.
above,adverb," said, mentioned, or written above; foregoing:"
above,adverb," something that was said, mentioned, or written above:"
above,adverb, the person or persons previously indicated:
above,adverb, heaven:
above,adverb, a higher authority:
abroad,adverb, in or to a foreign country or countries:
abroad,adverb, in or to another continent:
abroad,adverb, out of doors; from one place to another; about:
abroad,adverb, spread around; in circulation:
abroad,adverb, broadly; widely; far and wide.
abroad,adverb, wide of the mark; in error.
abroad,adverb, a foreign land or lands:
absolute,adjective, free from imperfection; complete; perfect:
absolute,adjective, not mixed or adulterated; pure:
absolute,adjective, complete; downright:
absolute,adjective, free from restriction or limitation; not limited in any way: absolute freedom.
absolute,adjective," unrestrained or unlimited by a constitution, counterbalancing group, etc., in the exercise of governmental power, especially when arbitrary or despotic:"
absolute,adjective, viewed independently; not comparative or relative; intrinsic:
absolute,adjective, positive; certain: absolute evidence.
absolute,adjective, Grammar. 
absolute,adjective, Physics. 
absolute,adjective, Education.  noting or pertaining to the scale of a grading system based on an individual's performance considered as representing their knowledge of a given subject regardless of the performance of others in a group: Compare curve ( def ).
absolute,adjective," Climatology. noting or pertaining to the highest or lowest value of a meteorological quantity recorded during a given, usually long, period of time:"
absolute,adjective," Mathematics.  (of an inequality) indicating that the expression is true for all values of the variable, as x 2 + 1 > 0 for all real numbers x; unconditional; Compare conditional ( def 4 )."
absolute,adjective, Computers. machine-specific and requiring no translation ( symbolic ): absolute address.
absolute,adjective," something that is not dependent upon external conditions for existence or for its specific nature, size, etc. ( relative )."
absolute,adjective," the absolute, "
absolutely,adverb, without exception; completely; wholly; entirely:
absolutely,adverb, without doubt or reservation; positively; certainly:
absolutely,adverb, (of a transitive verb) without an object.
absolutely,adverb, (used emphatically to express complete agreement or unqualified assent):
academic,adjective," of or relating to a college, academy, school, or other educational institution:"
academic,adjective," pertaining to areas of study that are not primarily vocational or applied, as the humanities or pure mathematics."
academic,adjective," theoretical or hypothetical; not practical, realistic, or directly useful:"
academic,adjective," learned or scholarly but lacking in worldliness, common sense, or practicality."
academic,adjective," conforming to set rules, standards, or traditions; conventional:"
academic,adjective," acquired by formal education, especially at a college or university:"
academic,adjective," Academic, of or relating to Academe or to the Platonic school of philosophy."
academic,adjective, a student or teacher at a college or university.
academic,adjective," a person who is academic in background, attitudes, methods, etc.:"
academic,adjective," Academic, a person who supports or advocates the Platonic school of philosophy."
academic,adjective," academics, the scholarly activities of a school or university, as classroom studies or research projects:"
accept,verb (used with object), to take or receive (something offered); receive with approval or favor:
accept,verb (used with object), to agree or consent to; accede to:
accept,verb (used with object), to respond or answer affirmatively to:
accept,verb (used with object)," to undertake the responsibility, duties, honors, etc., of:"
accept,verb (used with object)," to receive or admit formally, as to a college or club."
accept,verb (used with object), to accommodate or reconcile oneself to:
accept,verb (used with object), to regard as true or sound; believe:
accept,verb (used with object)," to regard as normal, suitable, or usual."
accept,verb (used with object), to receive as to meaning; understand.
accept,verb (used with object)," Commerce. to acknowledge, by signature, as calling for payment, and thus to agree to pay, as a draft."
accept,verb (used with object), (in a deliberative body) to receive as an adequate performance of the duty with which an officer or a committee has been charged; receive for further action:
accept,verb (used with object)," to receive or contain (something attached, inserted, etc.):"
accept,verb (used with object),  to receive (a transplanted organ or tissue) without adverse reaction. Compare reject ( def 7 ).
accept,verb (used with object)," to accept an invitation, gift, position, etc. (sometimes followed by of )."
acceptable,adjective, capable or worthy of being accepted.
acceptable,adjective, pleasing to the receiver; satisfactory; agreeable; welcome.
acceptable,adjective, meeting only minimum requirements; barely adequate:
acceptable,adjective, capable of being endured; tolerable; bearable:
access,noun," the ability, right, or permission to approach, enter, speak with, or use; admittance:"
access,noun, a way or means of approach:
access,noun, the state or quality of being approachable:
access,noun, Theology. approach to God through Jesus Christ.
access,noun," an attack or onset, as of a disease or symptom:"
access,noun," a sudden, strong burst of emotion:"
access,noun, accession.
access,noun, public-access television.
access,noun," to make contact with or gain access to; be able to reach, approach, enter, etc.:"
access,noun, Computers. (of a program or system component) to retrieve (data) for use by another program or application or for transfer from one part of the system to another:
access,noun," Television. (of programming, time, etc.) available to the public:"
accident,noun," an undesirable or unfortunate happening that occurs unintentionally and usually results in harm, injury, damage, or loss; casualty; mishap:"
accident,noun, Law. such a happening resulting in injury that is in no way the fault of the injured person for which compensation or indemnity is legally sought.
accident,noun," any event that happens unexpectedly, without a deliberate plan or cause."
accident,noun, chance; fortune; luck:
accident,noun," a fortuitous circumstance, quality, or characteristic:"
accident,noun, Philosophy. any entity or event contingent upon the existence of something else.
accident,noun," Geology. a surface irregularity, usually on a small scale, the reason for which is not apparent."
accommodation,noun, the act of accommodating ( def ); state or process of being accommodated ( def ); adaptation.
accommodation,noun, adjustment of differences; reconciliation.
accommodation,noun," Sociology. a process of mutual adaptation between persons or groups, usually achieved by eliminating or reducing hostility, as by compromise or arbitration."
accommodation,noun," anything that supplies a need, want, favor, convenience, etc."
accommodation,noun, Usually accommodations. 
accommodation,noun, readiness to aid or please others; obligingness.
accommodation,noun, a loan.
accommodation,noun, Ophthalmology. the automatic adjustment by which the eye adapts itself to distinct vision at different distances.
accommodation,noun, accommodation bill.
accompany,verb (used with object), to go along or in company with; join in action:
accompany,verb (used with object), to be or exist in association or company with:
accompany,verb (used with object), to put in company with; cause to be or go along; associate (usually followed by with ):
accompany,verb (used with object), Music. to play or sing an accompaniment to or for.
accompany,verb (used with object), to provide the musical accompaniment.
account,noun, an oral or written description of particular events or situations; narrative:
account,noun," an explanatory statement of conduct, as to a superior."
account,noun," a statement of reasons, causes, etc., explaining some event."
account,noun, reason; basis:
account,noun, importance; worth; value; consequence:
account,noun, estimation; judgment:
account,noun," an amount of money deposited with a bank, as in a checking or savings account:"
account,noun," Also called  charge account. an accommodation or service extended by a business to a customer or client permitting the charging of goods or services, the returning for credit of unsatisfactory merchandise, etc.:"
account,noun, a statement of financial transactions.
account,noun, Bookkeeping. 
account,noun, Commerce. 
account,noun," Digital Technology. an electronic identity, as a username and its associated data, assigned to an individual or group for secure, personalized access to a website, network, digital service, etc.: Your email account has been hacked!"
account,noun, to give an explanation (usually followed by for ):
account,noun," to answer concerning one's conduct, duties, etc. (usually followed by for ):"
account,noun," to provide a report on money received, kept, and spent."
account,noun, to cause (usually followed by for ):
account,noun, to regard; consider as:
account,noun, to assign or impute (usually followed by to ):
accurate,adjective," free from error or defect; consistent with a standard, rule, or model; precise; exact."
accurate,adjective, careful or meticulous:
accuse,verb (used with object)," to charge with the fault, offense, or crime (usually followed by of ):"
accuse,verb (used with object), to find fault with; blame.
accuse,verb (used with object), to make an accusation.
achieve,verb (used with object), to bring to a successful end; carry through; accomplish:
achieve,verb (used with object), to get or attain by effort; gain; obtain:
achieve,verb (used with object), to bring about an intended result; accomplish some purpose or effect.
achievement,noun," something accomplished, especially by superior ability, special effort, great courage, etc.; a great or heroic deed:"
achievement,noun, the act of achieving; attainment or accomplishment:
achievement,noun, Heraldry. the full display of the armorial bearings of an individual or corporation.
achievement,noun," Digital Technology. a title or icon associated with a user profile or account that indicates the person's skill or rank in an online community, especially on a gaming platform."
acknowledge,verb (used with object)," to admit to be real or true; recognize the existence, truth, or fact of:"
acknowledge,verb (used with object), to show or express recognition or realization of:
acknowledge,verb (used with object)," to recognize the authority, validity, or claims of:"
acknowledge,verb (used with object), to show or express appreciation or gratitude for:
acknowledge,verb (used with object), to indicate or make known the receipt of:
acknowledge,verb (used with object), to take notice of or reply to:
acknowledge,verb (used with object), Law. to confirm as binding or of legal force:
acquire,verb (used with object), to come into possession or ownership of; get as one's own:
acquire,verb (used with object), to gain for oneself through one's actions or efforts:
acquire,verb (used with object), Linguistics. to achieve native or nativelike command of (a language or a linguistic rule or element).
acquire,verb (used with object)," Military. to locate and track (a moving target) with a detector, as radar."
across,preposition, from one side to the other of:
across,preposition, on or to the other side of; beyond:
across,preposition," into contact with; into the presence of, usually by accident:"
across,preposition, crosswise of or transversely to the length of something; athwart:
across,preposition, from one side to another.
across,preposition, on the other side:
across,preposition, crosswise; transversely:
across,preposition, so as to be understood or learned:
across,preposition, into a desired or successful state:
across,preposition, being in a crossed or transverse position; crosswise:
act,noun," anything done, being done, or to be done; deed; performance:"
act,noun, the process of doing:
act,noun," a formal decision, law, or the like, by a legislature, ruler, court, or other authority; decree or edict; statute; judgment, resolve, or award:"
act,noun, an instrument or document stating something done or transacted.
act,noun, one of the main divisions of a play or opera:
act,noun," a short performance by one or more entertainers, usually part of a variety show or radio or television program."
act,noun, the personnel of such a group:
act,noun, false show; pretense; feint:
act,noun, Philosophy. (in scholasticism)
act,noun, to do something; exert energy or force; be employed or operative:
act,noun," to reach, make, or issue a decision on some matter:"
act,noun, to operate or function in a particular way; perform specific duties or functions:
act,noun, to produce an effect; perform a function:
act,noun, to behave or conduct oneself in a particular fashion:
act,noun, to pretend; feign:
act,noun, to perform as an actor:
act,noun, to be capable of being performed:
act,noun, to serve or substitute (usually followed by for ):
act,noun, to represent (a fictitious or historical character) with one's person:
act,noun, to feign; counterfeit:
act,noun, to behave as:
act,noun, Obsolete. to actuate.
act,noun, 
act,noun," Informal. to organize one's time, job, resources, etc., so as to function efficiently:"
act,noun, 
act,noun, 
ACT,N/A," Trademark.  a standardized college admissions test developed by ACT, Inc., measuring English, mathematics, reading, and science skills: originally an abbreviation of American College Testing/American College Test. Compare SAT."
ACT,N/A, Association of Classroom Teachers.
ACT,N/A, Australian Capital Territory.
act.,abbreviation for, acting.
act.,abbreviation for, active.
act.,abbreviation for, actor.
act.,abbreviation for, actual.
action,noun, the process or state of acting or of being active:
action,noun, something done or performed; act; deed.
action,noun, an act that one consciously wills and that may be characterized by physical or mental activity:
action,noun," actions, habitual or usual acts; conduct:"
action,noun, energetic activity:
action,noun, an exertion of power or force:
action,noun, effect or influence:
action,noun," Physiology. a change in organs, tissues, or cells leading to performance of a function, as in muscular contraction."
action,noun, way or manner of moving:
action,noun," the mechanism by which something is operated, as that of a gun or a piano."
action,noun," a military encounter or engagement; battle, skirmish, or the like."
action,noun, actual engagement in fighting an enemy; military or naval combat:
action,noun," Literature. the main subject or story, as distinguished from an incidental episode."
action,noun, Theater. 
action,noun, the gestures or deportment of an actor or speaker.
action,noun," Fine Arts. the appearance of animation, movement, or emotion given to figures by their attitude, position, or expression."
action,noun, Law. 
action,noun, Slang. 
action,noun, Ecclesiastical. 
action,noun, characterized by brisk or dynamic action:
ACTION,noun, an independent agency created in 1971 to administer domestic volunteer programs.
active,adjective," engaged in action; characterized by energetic work, participation, etc.; busy:"
active,adjective," being in a state of existence, progress, or motion:"
active,adjective, involving physical effort and action:
active,adjective, having the power of quick motion; nimble:
active,adjective," characterized by action, motion, volume, use, participation, etc.:"
active,adjective, causing activity or change; capable of exerting influence ( passive ):
active,adjective, effective ( inert ):
active,adjective, Grammar. noting or pertaining to a voice of verbal inflection in which typically the subject of the sentence is represented as performing the action expressed by the verb ( passive ): Writes in He writes a letter every day is an active verb form.
active,adjective, requiring or giving rise to action; practical:
active,adjective," Geology.  (of a volcano) having erupted within the last 10,000 years and likely to do so again or currently in a state of eruption. Compare dormant ( def ), extinct ( def )."
active,adjective, Accounting. profitable; busy:
active,adjective, requiring personal effort or attention; not automatic:
active,adjective, interest-bearing:
active,adjective, Medicine/Medical. acting quickly; producing immediate effects:
active,adjective," Sociology.  (of a crowd) engaging in purposeful activity, often of a militant nature. Compare expressive ( def 4 )."
active,adjective, Aerospace. able to transmit signals:
active,adjective," Electronics. (of a device or system) acting as a source of electrical energy, as a generator, or capable of amplifying or converting voltages or currents, as a transistor or diode."
active,adjective, (of a solar heating system) accumulating and distributing solar heat by mechanical means.
active,adjective, Military. serving on active duty.
active,adjective, Grammar. 
active,adjective," an active person, member, subscriber, etc.:"
active,adjective, Informal. something showing considerable action or activity:
activity,noun, the state or quality of being active:
activity,noun," a specific deed, action, function, or sphere of action:"
activity,noun," work, especially in elementary grades at school, that involves direct experience by the student rather than textbook study."
activity,noun, energetic activity; animation; liveliness.
activity,noun, a use of energy or force; an active movement or operation.
activity,noun," normal mental or bodily power, function, or process."
activity,noun," Physical Chemistry. the capacity of a substance to react, corrected for the loss of reactivity due to the interaction of its constituents."
activity,noun, Physics. 
activity,noun, an organizational unit or the function it performs.
actor,noun," a person who acts in stage plays, motion pictures, television broadcasts, etc."
actor,noun, a person who does something; participant.
Actor,noun," a brother of King Augeas, sometimes believed to be the father, by Molione, of Eurytus and Cteatus."
actress,noun," a woman who acts in stage plays, motion pictures, television broadcasts, etc., especially professionally."
actual,adjective, existing in act or fact; real:
actual,adjective, existing now; present; current:
actual,adjective, Obsolete. pertaining to or involving acts or action.
actually,adverb, as an actual or existing fact; really.
ad,noun," advertisement ( defs 1, 2 )."
ad,noun, advertising:
-ad,N/A," a suffix occurring in loanwords from Greek denoting a group or unit comprising a certain number, sometimes of years: dyad; triad ."
-ad,N/A," a suffix meaning “derived from,” “related to,” “concerned with,” “associated with” ( oread ), introduced in loanwords from Greek ( Olympiad; oread ), used sporadically in imitation of Greek models, as Dunciad , after Iliad ."
a.d.,abbreviation for, in the year of the Lord; since Christ was born:
ad,noun, advantage ( def 5 ).
ad,noun," ad in, the advantage being scored by the server."
ad,noun," ad out, the advantage being scored by the receiver."
-ad,N/A, variant of -ade 1: ballad .
a.d.,abbreviation for, before the day.
ad,preposition, (in prescriptions) to; up to.
-ad,N/A," Anatomy, Zoology. a suffix forming adverbs from nouns signifying parts of the body, denoting a direction toward that part: dextrad; dorsad; mediad ."
a.d.,abbreviation for, after date.
a.d.,abbreviation for, autograph document.
ad-,N/A," a prefix occurring in loanwords from Latin, where it meant “toward” and indicated direction, tendency, or addition: adjoin . Usually assimilated to the following consonant; a- 5, ac-, af-, ag-, al-, an- 2, ap- 1, ar-, as-, at-."
ad.,abbreviation for, adverb.
ad.,abbreviation for, advertisement.
A.D.,abbreviation for, active duty ( def ).
A.D.,abbreviation for,  anno Domini ( def ). Also a.d.
A.D.,abbreviation for, art director ( def ).
A.D.,abbreviation for, assembly district ( def ).
A.D.,abbreviation for, assistant director.
A.D.,abbreviation for, athletic director.
A.D.,abbreviation for, average deviation.
adapt,verb (used with object), to make suitable to requirements or conditions; adjust or modify fittingly:
adapt,verb (used with object)," to adjust oneself to different conditions, environment, etc.:"
add,verb (used with object)," to unite or join so as to increase the number, quantity, size, or importance:"
add,verb (used with object), to find the sum of (often followed by up ):
add,verb (used with object), to say or write further.
add,verb (used with object), to include (usually followed by in ):
add,verb (used with object), to perform the arithmetic operation of addition:
add,verb (used with object), to be or serve as an addition (usually followed by to ):
add,verb (used with object), Journalism. copy added to a completed story.
add,verb (used with object), to signify; indicate:
ADD,abbreviation for," attention deficit disorder:  the inattentive subtype of ADHD, usually marked by distractibility and difficulties with executive function. "
addition,noun, the act or process of adding or uniting.
addition,noun," the process of uniting two or more numbers into one sum, represented by the symbol +."
addition,noun, the result of adding.
addition,noun, something added.
addition,noun," a wing, room, etc., added to a building, or abutting land added to real estate already owned."
addition,noun, Chemistry. a reaction in which two or more substances combine to form another compound.
additional,adjective, added; more; supplementary:
address,noun," a speech or written statement, usually formal, directed to a particular group of persons:"
address,noun," a direction as to the intended recipient, written on or attached to a piece of mail."
address,noun," the place or the name of the place where a person, organization, or the like is located or may be reached:"
address,noun, manner of speaking to persons; personal bearing in conversation.
address,noun, skillful and expeditious management; ready skill; dispatch:
address,noun, Computers. 
address,noun, Government. a request to the executive by the legislature to remove a judge for unfitness.
address,noun, Usually addresses. attentions paid by a suitor or lover; courtship.
address,noun, Usually Address. the reply to the king's speech in the English Parliament.
address,noun, Obsolete. preparation.
address,noun, to direct a speech or written statement to:
address,noun, to use a specified form or title in speaking or writing to:
address,noun, to direct to the attention:
address,noun," to apply in speech (used reflexively, usually followed by to ):"
address,noun, to deal with or discuss:
address,noun, to put the directions for delivery on:
address,noun," Commerce. to consign or entrust to the care of another, as agent or factor."
address,noun, to direct the energy or efforts of (usually followed by to ):
address,noun, Computers. to direct (data) to a specified memory location in a computer.
address,noun, Golf. to take a stance and place the head of the club behind (the ball) preparatory to hitting it.
address,noun, Obsolete. to woo; court.
address,noun, Archaic. to give direction to; aim.
address,noun, Obsolete. to prepare.
address,noun, to make an appeal.
address,noun, to make preparations.
administration,noun," the management of any office, business, or organization; direction."
administration,noun, the function of a political state in exercising its governmental duties.
administration,noun, the duty or duties of an administrator in exercising the executive functions of the position.
administration,noun, the management by an administrator of such duties.
administration,noun," a body of administrators, especially in government."
administration,noun, Often Administration. the executive branch of the U.S. government during a particular president's term of office: The current administration has threatened to veto the new bill.
administration,noun, the period of service of a governmental administrator or body of governmental administrators.
administration,noun, any group entrusted with executive or administrative powers:
administration,noun, Law. management of a decedent's estate by an executor or administrator or of a trust estate by a trustee.
administration,noun," an act of dispensing, especially formally:"
administration,noun, supervision of the taking of an oath or the like.
administration,noun," application, as of a salve or medicine."
admire,verb (used with object)," to regard with wonder, pleasure, or approval."
admire,verb (used with object), to regard with wonder or surprise (usually used ironically or sarcastically):
admire,verb (used with object), to feel or express admiration.
admire,verb (used with object), Dialect. to take pleasure; like or desire:
admit,verb (used with object), to allow to enter; grant or afford entrance to:
admit,verb (used with object), to give right or means of entrance to:
admit,verb (used with object), to register (a person) as an inpatient at a hospital:
admit,verb (used with object), to permit to exercise a certain function or privilege:
admit,verb (used with object), to permit; allow.
admit,verb (used with object), to allow or concede as valid:
admit,verb (used with object), to acknowledge; confess:
admit,verb (used with object), to grant in argument; concede:
admit,verb (used with object), to have capacity for:
admit,verb (used with object), to permit entrance; give access:
admit,verb (used with object), to permit the possibility of something; allow (usually followed by of ):
adopt,verb (used with object), to choose or take as one's own; make one's own by selection or assent:
adopt,verb (used with object)," to take responsibility for raising (someone else’s biological child) as one's own, specifically by a formal legal act:"
adopt,verb (used with object)," to acquire (a pet, especially one from an animal rescue organization):"
adopt,verb (used with object), to take or receive into any kind of new relationship:
adopt,verb (used with object), to select as a basic or required textbook or series of textbooks in a course.
adopt,verb (used with object), to vote to accept:
adopt,verb (used with object)," to accept or act in accordance with (a plan, principle, etc.)."
adopt,verb (used with object), to take a nonbiological child into one’s home and raise as one’s own.
adopt,verb (used with object)," to acquire a pet, especially one from an animal rescue organization:"
adopt,verb (used with object), to place in a home by means of adoption:
adult,noun, a person who is fully grown or developed or of age.
adult,noun, a full-grown animal or plant.
adult,noun, a person who has attained the age of maturity as specified by law.
adult,noun, having attained full size and strength; grown up; mature:
adult,noun," of, relating to, or befitting adults."
adult,noun, intended for adults; not suitable for children:
adult,noun, Informal. (of a young person) to do things and assume responsibilities that are associated with being an adult; act like an adult (usually used facetiously about minor accomplishments):
advance,verb (used with object), to move or bring forward:
advance,verb (used with object), to bring into consideration or notice; suggest; propose:
advance,verb (used with object), to improve; further:
advance,verb (used with object), to raise in rank; promote:
advance,verb (used with object), to raise in rate or amount; increase:
advance,verb (used with object), to bring forward in time; accelerate:
advance,verb (used with object), to supply beforehand; furnish on credit or before goods are delivered or work is done.
advance,verb (used with object), to furnish as part of a stock or fund.
advance,verb (used with object), to supply or pay in expectation of reimbursement:
advance,verb (used with object), to schedule at a later time or date:
advance,verb (used with object), Informal. to do advance publicity for:
advance,verb (used with object)," Archaic. to raise, as a banner."
advance,verb (used with object), to move or go forward; proceed:
advance,verb (used with object)," to increase in quantity, value, price, etc.:"
advance,verb (used with object),"  (of a color, form, etc., on a flat surface) to move toward or be perceived as moving toward an observer, especially as giving the illusion of space. Compare recede 1( def 3 )."
advance,verb (used with object), to improve or make progress.
advance,verb (used with object)," to grow or rise in importance, status, etc.:"
advance,verb (used with object), Informal. to provide publicity; do promotion:
advance,verb (used with object), a forward movement; progress in space:
advance,verb (used with object)," promotion; improvement in importance, rank, etc.:"
advance,verb (used with object), Usually advances. 
advance,verb (used with object), addition to price; rise in price:
advance,verb (used with object), Commerce. 
advance,verb (used with object), Journalism. 
advance,verb (used with object), the leading body of an army.
advance,verb (used with object), Military. (formerly) the order or a signal to advance.
advance,verb (used with object), Informal. 
advance,verb (used with object)," Automotive, Machinery.  an adjustment made in the setting of the distributor of an internal-combustion engine to generate the spark for ignition in each cylinder earlier in the cycle. Compare retard ( def 5 )."
advance,verb (used with object), Geology. a seaward movement of the shoreline.
advance,verb (used with object), going or placed before:
advance,verb (used with object), made or given ahead of time:
advance,verb (used with object), issued ahead of time:
advance,verb (used with object), having gone beyond others or beyond the average.
advanced,adjective, placed ahead or forward:
advanced,adjective," ahead or far or further along in progress, complexity, knowledge, skill, etc.:"
advanced,adjective," pertaining to or embodying ideas, practices, attitudes, etc., taken as being more enlightened or liberal than the standardized, established, or traditional:"
advanced,adjective, far along in time:
advantage,noun," any state, circumstance, opportunity, or means specially favorable to success, interest, or any desired end:"
advantage,noun, benefit; gain; profit:
advantage,noun, superiority or ascendancy (often followed by over or of ):
advantage,noun, a position of superiority (often followed by over or of ):
advantage,noun, Tennis. the first point scored after deuce.
advantage,noun, to be of service to; yield profit or gain to; benefit.
advantage,noun, to cause to advance; further; promote:
advantage,noun, to prove beneficial to; profit:
adventure,noun, an exciting or very unusual experience.
adventure,noun, participation in exciting undertakings or enterprises:
